lot,wafer,x,y,hbin,sbin,testdate,temp,testA,testB,testC
LOT123,W01,-12,-2,1,10,2026-04-22,25,0.942,0.537,59.707
LOT123,W01,-12,-1,1,10,2026-04-22,25,1.046,0.52,51.303
LOT123,W01,-12,0,4,45,2026-04-22,25,1.061,0.524,55.131
LOT123,W01,-12,1,1,10,2026-04-22,25,0.96,0.532,73.123
LOT123,W01,-12,2,1,10,2026-04-22,25,1.038,0.539,56.538
LOT123,W01,-11,-3,1,10,2026-04-22,25,1.087,0.527,63.027
LOT123,W01,-11,-2,2,20,2026-04-22,25,1.095,0.541,55.977
LOT123,W01,-11,-1,1,10,2026-04-22,25,1.107,0.539,43.931
LOT123,W01,-11,0,3,40,2026-04-22,25,0.968,0.526,57.32
LOT123,W01,-11,1,2,20,2026-04-22,25,1.008,0.527,49.741
LOT123,W01,-11,2,2,20,2026-04-22,25,1.026,0.514,50.225
LOT123,W01,-11,3,1,10,2026-04-22,25,0.999,0.519,54.122
LOT123,W01,-10,-5,1,10,2026-04-22,25,0.915,0.542,77.863
LOT123,W01,-10,-4,1,10,2026-04-22,25,0.926,0.543,55.438
LOT123,W01,-10,-3,2,20,2026-04-22,25,0.952,0.518,53.378
LOT123,W01,-10,-2,4,45,2026-04-22,25,1.011,0.531,38.344
LOT123,W01,-10,-1,1,10,2026-04-22,25,1.082,0.513,49.198
LOT123,W01,-10,0,1,10,2026-04-22,25,1.097,0.527,45.481
LOT123,W01,-10,1,4,45,2026-04-22,25,1.005,0.508,50.834
LOT123,W01,-10,2,2,20,2026-04-22,25,1.071,0.524,48.439
LOT123,W01,-10,3,1,10,2026-04-22,25,0.972,0.534,52.601
LOT123,W01,-10,4,1,10,2026-04-22,25,1.06,0.528,62.035
LOT123,W01,-10,5,2,20,2026-04-22,25,0.927,0.538,56.752
LOT123,W01,-9,-5,1,10,2026-04-22,25,1.044,0.516,63.242
LOT123,W01,-9,-4,3,40,2026-04-22,25,1.09,0.523,48.859
LOT123,W01,-9,-3,1,10,2026-04-22,25,1.12,0.528,50.703
LOT123,W01,-9,-2,1,10,2026-04-22,25,1.078,0.509,44.542
LOT123,W01,-9,-1,1,10,2026-04-22,25,1.078,0.514,39.765
LOT123,W01,-9,0,1,10,2026-04-22,25,1.15,0.521,30.242
LOT123,W01,-9,1,2,20,2026-04-22,25,1.203,0.51,31.543
LOT123,W01,-9,2,1,10,2026-04-22,25,1.164,0.519,40.688
LOT123,W01,-9,3,1,10,2026-04-22,25,1.157,0.511,45.077
LOT123,W01,-9,4,1,10,2026-04-22,25,1.104,0.521,45.887
LOT123,W01,-9,5,1,10,2026-04-22,25,1.037,0.519,48.483
LOT123,W01,-8,-6,1,10,2026-04-22,25,0.976,0.526,62.712
LOT123,W01,-8,-5,1,10,2026-04-22,25,1.082,0.539,59.118
