lot,wafer,x,y,siteId,hbin,sbin,testdate,temp,testA,testB,testC
LOT123,W01,-3,-14,0,1,10,2026-04-22,25,0.962,0.491,55.787
LOT123,W01,-2,-14,1,1,10,2026-04-22,25,0.978,0.507,45.655
LOT123,W01,-1,-14,2,1,10,2026-04-22,25,0.873,0.468,54.818
LOT123,W01,0,-14,3,1,10,2026-04-22,25,1.144,0.500,42.579
LOT123,W01,1,-14,4,1,10,2026-04-22,25,1.069,0.517,49.696
LOT123,W01,2,-14,5,1,10,2026-04-22,25,0.915,0.492,28.771
LOT123,W01,3,-14,6,2,20,2026-04-22,25,1.087,0.475,67.305
LOT123,W01,-6,-13,7,1,10,2026-04-22,25,0.959,0.488,75.581
LOT123,W01,-5,-13,8,1,10,2026-04-22,25,0.972,0.475,52.590
LOT123,W01,-4,-13,9,1,10,2026-04-22,25,1.124,0.498,50.037
LOT123,W01,-3,-13,10,1,10,2026-04-22,25,1.089,0.493,55.300
LOT123,W01,-2,-13,11,1,10,2026-04-22,25,1.208,0.507,66.259
LOT123,W01,-1,-13,12,2,20,2026-04-22,25,0.922,0.483,39.697
LOT123,W01,0,-13,13,1,10,2026-04-22,25,1.110,0.468,62.621
LOT123,W01,1,-13,14,2,20,2026-04-22,25,1.007,0.505,54.254
LOT123,W01,2,-13,15,1,10,2026-04-22,25,0.851,0.544,59.317
LOT123,W01,3,-13,16,3,40,2026-04-22,25,1.014,0.484,68.664
LOT123,W01,4,-13,17,1,10,2026-04-22,25,1.002,0.513,44.768
LOT123,W01,5,-13,18,1,10,2026-04-22,25,1.084,0.480,60.870
LOT123,W01,6,-13,19,1,10,2026-04-22,25,1.004,0.504,33.271
LOT123,W01,-8,-12,20,1,10,2026-04-22,25,1.086,0.477,57.379
LOT123,W01,-7,-12,21,2,20,2026-04-22,25,1.143,0.481,55.617
LOT123,W01,-6,-12,22,1,10,2026-04-22,25,1.054,0.483,57.712
LOT123,W01,-5,-12,23,1,10,2026-04-22,25,0.934,0.499,64.770
LOT123,W01,-4,-12,24,1,10,2026-04-22,25,1.061,0.512,51.155
LOT123,W01,-3,-12,25,1,10,2026-04-22,25,0.889,0.469,25.120
LOT123,W01,-2,-12,26,1,10,2026-04-22,25,1.016,0.462,59.736
LOT123,W01,-1,-12,27,1,10,2026-04-22,25,1.064,0.481,56.117
LOT123,W01,0,-12,28,1,10,2026-04-22,25,1.080,0.521,40.269
LOT123,W01,1,-12,29,1,10,2026-04-22,25,0.881,0.462,56.203
LOT123,W01,2,-12,30,1,10,2026-04-22,25,1.095,0.494,56.797
LOT123,W01,3,-12,31,1,10,2026-04-22,25,1.056,0.475,40.538
LOT123,W01,4,-12,32,1,10,2026-04-22,25,0.941,0.506,78.807
LOT123,W01,5,-12,33,1,10,2026-04-22,25,0.934,0.506,56.301
LOT123,W01,6,-12,34,1,10,2026-04-22,25,1.153,0.475,34.851
LOT123,W01,7,-12,35,2,20,2026-04-22,25,0.868,0.504,60.456
LOT123,W01,8,-12,36,1,10,2026-04-22,25,0.966,0.493,56.784
LOT123,W01,-9,-11,37,1,10,2026-04-22,25,1.044,0.507,55.952
LOT123,W01,-8,-11,38,2,20,2026-04-22,25,1.219,0.486,80.060
LOT123,W01,-7,-11,39,2,20,2026-04-22,25,1.260,0.481,52.744
LOT123,W01,-6,-11,40,1,10,2026-04-22,25,1.087,0.492,31.092
LOT123,W01,-5,-11,41,2,20,2026-04-22,25,1.127,0.505,43.276
LOT123,W01,-4,-11,42,1,10,2026-04-22,25,1.000,0.500,41.188
LOT123,W01,-3,-11,43,1,10,2026-04-22,25,1.050,0.485,42.333
LOT123,W01,-2,-11,44,1,10,2026-04-22,25,1.031,0.487,61.951
LOT123,W01,-1,-11,45,2,20,2026-04-22,25,1.137,0.512,62.313
LOT123,W01,0,-11,46,1,10,2026-04-22,25,0.871,0.484,56.608
LOT123,W01,1,-11,47,1,10,2026-04-22,25,1.220,0.511,52.265
LOT123,W01,2,-11,48,1,10,2026-04-22,25,1.038,0.494,73.088
LOT123,W01,3,-11,49,1,10,2026-04-22,25,1.078,0.499,53.899
LOT123,W01,4,-11,50,1,10,2026-04-22,25,0.933,0.513,40.038
LOT123,W01,5,-11,51,1,10,2026-04-22,25,1.048,0.456,45.989
LOT123,W01,6,-11,52,1,10,2026-04-22,25,1.206,0.496,50.901
LOT123,W01,7,-11,53,1,10,2026-04-22,25,1.298,0.460,56.796
LOT123,W01,8,-11,54,1,10,2026-04-22,25,1.216,0.476,20.811
LOT123,W01,9,-11,55,3,40,2026-04-22,25,1.130,0.491,54.055
LOT123,W01,-10,-10,56,1,10,2026-04-22,25,1.032,0.502,30.272
LOT123,W01,-9,-10,57,2,20,2026-04-22,25,0.951,0.485,70.291
LOT123,W01,-8,-10,58,1,10,2026-04-22,25,1.057,0.491,38.921
LOT123,W01,-7,-10,59,1,10,2026-04-22,25,0.996,0.501,30.063
LOT123,W01,-6,-10,60,1,10,2026-04-22,25,1.174,0.471,52.198
LOT123,W01,-5,-10,61,3,40,2026-04-22,25,1.010,0.456,51.174
LOT123,W01,-4,-10,62,1,10,2026-04-22,25,0.974,0.478,44.493
LOT123,W01,-3,-10,63,1,10,2026-04-22,25,0.981,0.509,64.308
LOT123,W01,-2,-10,64,1,10,2026-04-22,25,0.996,0.463,52.494
LOT123,W01,-1,-10,65,1,10,2026-04-22,25,0.965,0.508,82.491
LOT123,W01,0,-10,66,1,10,2026-04-22,25,1.302,0.505,57.758
LOT123,W01,1,-10,67,1,10,2026-04-22,25,1.076,0.523,59.600
LOT123,W01,2,-10,68,1,10,2026-04-22,25,0.958,0.484,46.545
LOT123,W01,3,-10,69,1,10,2026-04-22,25,0.896,0.549,45.200
LOT123,W01,4,-10,70,1,10,2026-04-22,25,0.975,0.450,32.534
LOT123,W01,5,-10,71,1,10,2026-04-22,25,0.982,0.472,53.867
LOT123,W01,6,-10,72,2,20,2026-04-22,25,0.921,0.482,62.301
LOT123,W01,7,-10,73,1,10,2026-04-22,25,1.107,0.485,42.646
LOT123,W01,8,-10,74,1,10,2026-04-22,25,1.049,0.455,62.009
LOT123,W01,9,-10,75,1,10,2026-04-22,25,1.066,0.515,75.914
LOT123,W01,10,-10,76,1,10,2026-04-22,25,0.964,0.483,46.633
