x,y,value
-3,-14,0.406
-2,-14,0.415
-1,-14,0.420
0,-14,0.420
1,-14,0.417
2,-14,0.414
3,-14,0.408
-6,-13,0.377
-5,-13,0.416
-4,-13,0.463
-3,-13,0.467
-2,-13,0.438
-1,-13,0.429
0,-13,0.460
1,-13,0.488
2,-13,0.470
3,-13,0.425
4,-13,0.409
5,-13,0.429
6,-13,0.438
-8,-12,0.436
-7,-12,0.412
-6,-12,0.404
-5,-12,0.452
-4,-12,0.509
-3,-12,0.512
-2,-12,0.473
-1,-12,0.461
0,-12,0.500
1,-12,0.536
2,-12,0.514
3,-12,0.458
4,-12,0.439
5,-12,0.468
6,-12,0.483
7,-12,0.437
8,-12,0.371
-9,-11,0.425
-8,-11,0.451
-7,-11,0.453
-6,-11,0.461
-5,-11,0.493
-4,-11,0.528
-3,-11,0.537
-2,-11,0.523
-1,-11,0.521
0,-11,0.540
1,-11,0.556
2,-11,0.542
3,-11,0.511
4,-11,0.496
5,-11,0.501
6,-11,0.497
7,-11,0.464
8,-11,0.421
9,-11,0.398
-10,-10,0.421
-9,-10,0.429
-8,-10,0.454
-7,-10,0.497
-6,-10,0.530
-5,-10,0.536
-4,-10,0.535
-3,-10,0.551
-2,-10,0.581
-1,-10,0.594
0,-10,0.580
1,-10,0.562
2,-10,0.564
3,-10,0.574
4,-10,0.564
5,-10,0.529
6,-10,0.497
7,-10,0.486
8,-10,0.481
9,-10,0.454
10,-10,0.407
-11,-9,0.450
-10,-9,0.458
-9,-9,0.441
-8,-9,0.466
-7,-9,0.536
-6,-9,0.586
-5,-9,0.577
-4,-9,0.552
-3,-9,0.574
-2,-9,0.631
-1,-9,0.655
0,-9,0.620
1,-9,0.580
2,-9,0.591
3,-9,0.627
4,-9,0.620
5,-9,0.560
6,-9,0.509
7,-9,0.512
8,-9,0.530
9,-9,0.500
10,-9,0.426
11,-9,0.373
-12,-8,0.407
-11,-8,0.467
-10,-8,0.481
-9,-8,0.474
-8,-8,0.501
-7,-8,0.565
-6,-8,0.612
-5,-8,0.609
-4,-8,0.594
-3,-8,0.616
-2,-8,0.667
-1,-8,0.688
0,-8,0.660
1,-8,0.627
2,-8,0.634
3,-8,0.660
4,-8,0.650
5,-8,0.596
6,-8,0.548
7,-8,0.545
8,-8,0.554
9,-8,0.523
10,-8,0.454
11,-8,0.405
12,-8,0.400
-12,-7,0.424
-11,-7,0.459
-10,-7,0.492
-9,-7,0.523
-8,-7,0.554
-7,-7,0.584
-6,-7,0.612
-5,-7,0.636
-4,-7,0.657
-3,-7,0.675
-2,-7,0.689
-1,-7,0.698
0,-7,0.700
1,-7,0.697
2,-7,0.688
3,-7,0.676
4,-7,0.658
5,-7,0.636
6,-7,0.611
7,-7,0.584
8,-7,0.555
9,-7,0.524
10,-7,0.491
11,-7,0.458
12,-7,0.424
-13,-6,0.436
-12,-6,0.440
-11,-6,0.448
-10,-6,0.501
-9,-6,0.571
-8,-6,0.606
-7,-6,0.601
-6,-6,0.610
-5,-6,0.661
-4,-6,0.719
-3,-6,0.733
-2,-6,0.711
-1,-6,0.707
0,-6,0.740
1,-6,0.766
2,-6,0.743
3,-6,0.690
4,-6,0.664
5,-6,0.674
6,-6,0.671
7,-6,0.621
8,-6,0.554
9,-6,0.524
10,-6,0.527
11,-6,0.509
12,-6,0.447
13,-6,0.379
-13,-5,0.459
-12,-5,0.456
-11,-5,0.458
-10,-5,0.516
-9,-5,0.598
-8,-5,0.635
-7,-5,0.623
-6,-5,0.629
-5,-5,0.689
-4,-5,0.758
-3,-5,0.774
-2,-5,0.744
-1,-5,0.738
0,-5,0.780
1,-5,0.814
2,-5,0.785
3,-5,0.720
4,-5,0.689
5,-5,0.706
6,-5,0.707
7,-5,0.648
8,-5,0.570
9,-5,0.538
10,-5,0.549
11,-5,0.535
12,-5,0.464
13,-5,0.387
-13,-4,0.452
-12,-4,0.472
-11,-4,0.494
-10,-4,0.542
-9,-4,0.600
-8,-4,0.637
-7,-4,0.652
-6,-4,0.674
-5,-4,0.720
-4,-4,0.769
-3,-4,0.792
-2,-4,0.792
-1,-4,0.798
0,-4,0.820
1,-4,0.832
2,-4,0.810
3,-4,0.768
4,-4,0.738
5,-4,0.728
6,-4,0.709
7,-4,0.663
8,-4,0.608
9,-4,0.573
10,-4,0.557
11,-4,0.529
12,-4,0.476
13,-4,0.419
-14,-3,0.397
-13,-3,0.430
-12,-3,0.487
-11,-3,0.541
-10,-3,0.570
-9,-3,0.588
-8,-3,0.624
-7,-3,0.681
-6,-3,0.729
-5,-3,0.750
-4,-3,0.765
-3,-3,0.799
-2,-3,0.845
-1,-3,0.870
0,-3,0.860
1,-3,0.837
2,-3,0.827
3,-3,0.822
4,-3,0.795
5,-3,0.743
6,-3,0.695
7,-3,0.670
8,-3,0.652
9,-3,0.614
10,-3,0.555
11,-3,0.507
12,-3,0.483
13,-3,0.462
14,-3,0.418
-14,-2,0.391
-13,-2,0.418
-12,-2,0.498
-11,-2,0.571
-10,-2,0.588
-9,-2,0.582
-8,-2,0.618
-7,-2,0.701
-6,-2,0.766
-5,-2,0.773
-4,-2,0.767
-3,-2,0.809
-2,-2,0.887
-1,-2,0.928
0,-2,0.900
1,-2,0.853
2,-2,0.847
3,-2,0.863
4,-2,0.836
5,-2,0.756
6,-2,0.688
7,-2,0.676
8,-2,0.682
9,-2,0.641
10,-2,0.556
11,-2,0.494
12,-2,0.489
13,-2,0.490
14,-2,0.438
-14,-1,0.400
-13,-1,0.429
-12,-1,0.502
-11,-1,0.569
-10,-1,0.591
-9,-1,0.594
-8,-1,0.632
-7,-1,0.707
-6,-1,0.768
-5,-1,0.783
-4,-1,0.787
-3,-1,0.832
-2,-1,0.907
-1,-1,0.954
0,-1,0.940
1,-1,0.893
2,-1,0.874
3,-1,0.875
4,-1,0.843
5,-1,0.769
6,-1,0.705
7,-1,0.687
8,-1,0.683
9,-1,0.642
10,-1,0.565
11,-1,0.507
12,-1,0.495
13,-1,0.488
14,-1,0.438
-14,0,0.420
-13,0,0.460
-12,0,0.500
-11,0,0.540
-10,0,0.580
-9,0,0.620
-8,0,0.660
-7,0,0.700
-6,0,0.740
-5,0,0.780
-4,0,0.820
-3,0,0.860
-2,0,0.900
-1,0,0.940
0,0,0.980
1,0,0.940
2,0,0.900
3,0,0.860
4,0,0.820
5,0,0.780
6,0,0.740
7,0,0.700
8,0,0.660
9,0,0.620
10,0,0.580
11,0,0.540
12,0,0.500
13,0,0.460
14,0,0.420
-14,1,0.438
-13,1,0.488
-12,1,0.495
-11,1,0.507
-10,1,0.565
-9,1,0.642
-8,1,0.683
-7,1,0.687
-6,1,0.705
-5,1,0.769
-4,1,0.843
-3,1,0.875
-2,1,0.874
-1,1,0.893
0,1,0.940
1,1,0.954
2,1,0.907
3,1,0.832
4,1,0.787
5,1,0.783
6,1,0.768
7,1,0.707
8,1,0.632
9,1,0.594
10,1,0.591
11,1,0.569
12,1,0.502
13,1,0.429
14,1,0.400
-14,2,0.438
-13,2,0.490
-12,2,0.489
-11,2,0.494
-10,2,0.556
-9,2,0.641
-8,2,0.682
-7,2,0.676
-6,2,0.688
-5,2,0.756
-4,2,0.836
-3,2,0.863
-2,2,0.847
-1,2,0.853
0,2,0.900
1,2,0.928
2,2,0.887
3,2,0.809
4,2,0.767
5,2,0.773
6,2,0.766
7,2,0.701
8,2,0.618
9,2,0.582
10,2,0.588
11,2,0.571
12,2,0.498
13,2,0.418
14,2,0.391
-14,3,0.418
-13,3,0.462
-12,3,0.483
-11,3,0.507
-10,3,0.555
-9,3,0.614
-8,3,0.652
-7,3,0.670
-6,3,0.695
-5,3,0.743
-4,3,0.795
-3,3,0.822
-2,3,0.827
-1,3,0.837
0,3,0.860
1,3,0.870
2,3,0.845
3,3,0.799
4,3,0.765
5,3,0.750
6,3,0.729
7,3,0.681
8,3,0.624
9,3,0.588
10,3,0.570
11,3,0.541
12,3,0.487
13,3,0.430
14,3,0.397
-13,4,0.419
-12,4,0.476
-11,4,0.529
-10,4,0.557
-9,4,0.573
-8,4,0.608
-7,4,0.663
-6,4,0.709
-5,4,0.728
-4,4,0.738
-3,4,0.768
-2,4,0.810
-1,4,0.832
0,4,0.820
1,4,0.798
2,4,0.792
3,4,0.792
4,4,0.769
5,4,0.720
6,4,0.674
7,4,0.652
8,4,0.637
9,4,0.600
10,4,0.542
11,4,0.494
12,4,0.472
13,4,0.452
-13,5,0.387
-12,5,0.464
-11,5,0.535
-10,5,0.549
-9,5,0.538
-8,5,0.570
-7,5,0.648
-6,5,0.707
-5,5,0.706
-4,5,0.689
-3,5,0.720
-2,5,0.785
-1,5,0.814
0,5,0.780
1,5,0.738
2,5,0.744
3,5,0.774
4,5,0.758
5,5,0.689
6,5,0.629
7,5,0.623
8,5,0.635
9,5,0.598
10,5,0.516
11,5,0.458
12,5,0.456
13,5,0.459
-13,6,0.379
-12,6,0.447
-11,6,0.509
-10,6,0.527
-9,6,0.524
-8,6,0.554
-7,6,0.621
-6,6,0.671
-5,6,0.674
-4,6,0.664
-3,6,0.690
-2,6,0.743
-1,6,0.766
0,6,0.740
1,6,0.707
2,6,0.711
3,6,0.733
4,6,0.719
5,6,0.661
6,6,0.610
7,6,0.601
8,6,0.606
9,6,0.571
10,6,0.501
11,6,0.448
12,6,0.440
13,6,0.436
-12,7,0.424
-11,7,0.458
-10,7,0.491
-9,7,0.524
-8,7,0.555
-7,7,0.584
-6,7,0.611
-5,7,0.636
-4,7,0.658
-3,7,0.676
-2,7,0.688
-1,7,0.697
0,7,0.700
1,7,0.698
2,7,0.689
3,7,0.675
4,7,0.657
5,7,0.636
6,7,0.612
7,7,0.234
8,7,0.204
9,7,0.173
10,7,0.142
11,7,0.109
12,7,0.074
-12,8,0.400
-11,8,0.405
-10,8,0.454
-9,8,0.523
-8,8,0.554
-7,8,0.545
-6,8,0.548
-5,8,0.596
-4,8,0.650
-3,8,0.660
-2,8,0.634
-1,8,0.627
0,8,0.660
1,8,0.688
2,8,0.667
3,8,0.616
4,8,0.594
5,8,0.609
6,8,0.612
7,8,0.215
8,8,0.151
9,8,0.124
10,8,0.131
11,8,0.117
12,8,0.057
-11,9,0.373
-10,9,0.426
-9,9,0.500
-8,9,0.530
-7,9,0.512
-6,9,0.509
-5,9,0.560
-4,9,0.620
-3,9,0.627
-2,9,0.591
-1,9,0.580
0,9,0.620
1,9,0.655
2,9,0.631
3,9,0.574
4,9,0.552
5,9,0.577
6,9,0.586
7,9,0.186
8,9,0.116
9,9,0.091
10,9,0.108
11,9,0.100
-10,10,0.407
-9,10,0.454
-8,10,0.481
-7,10,0.486
-6,10,0.497
-5,10,0.529
-4,10,0.564
-3,10,0.574
-2,10,0.564
-1,10,0.562
0,10,0.580
1,10,0.594
2,10,0.581
3,10,0.551
4,10,0.535
5,10,0.536
6,10,0.530
7,10,0.147
8,10,0.104
9,10,0.079
10,10,0.071
-9,11,0.398
-8,11,0.421
-7,11,0.464
-6,11,0.497
-5,11,0.501
-4,11,0.496
-3,11,0.511
-2,11,0.542
-1,11,0.556
0,11,0.540
1,11,0.521
2,11,0.523
3,11,0.537
4,11,0.528
5,11,0.493
6,11,0.461
7,11,0.103
8,11,0.101
9,11,0.075
-8,12,0.371
-7,12,0.437
-6,12,0.483
-5,12,0.468
-4,12,0.439
-3,12,0.458
-2,12,0.514
-1,12,0.536
0,12,0.500
1,12,0.461
2,12,0.473
3,12,0.512
4,12,0.509
5,12,0.452
6,12,0.404
7,12,0.062
8,12,0.086
-6,13,0.438
-5,13,0.429
-4,13,0.409
-3,13,0.425
-2,13,0.470
-1,13,0.488
0,13,0.460
1,13,0.429
2,13,0.438
3,13,0.467
4,13,0.463
5,13,0.416
6,13,0.377
-3,14,0.408
-2,14,0.414
-1,14,0.417
0,14,0.420
1,14,0.420
2,14,0.415
3,14,0.406
