PART_NUM,LOT,WAFER,DIE_X,DIE_Y,TEST_ID,TEST_NAME,MEASURED,UNIT,PASS_FAIL
CHIP-A100,L2024-01,W01,0,0,1001,LEAKAGE_IDD,2.1,uA,PASS
CHIP-A100,L2024-01,W01,0,0,1002,VOLTAGE_DROP,45,mV,PASS
CHIP-A100,L2024-01,W01,0,0,1003,FREQ_MHZ,2100,MHz,PASS
CHIP-A100,L2024-01,W01,1,0,1001,LEAKAGE_IDD,2.3,uA,PASS
CHIP-A100,L2024-01,W01,1,0,1002,VOLTAGE_DROP,48,mV,PASS
CHIP-A100,L2024-01,W01,1,0,1003,FREQ_MHZ,2098,MHz,PASS
CHIP-A100,L2024-01,W01,2,0,1001,LEAKAGE_IDD,2.2,uA,PASS
CHIP-A100,L2024-01,W01,2,0,1002,VOLTAGE_DROP,46,mV,PASS
CHIP-A100,L2024-01,W01,2,0,1003,FREQ_MHZ,2102,MHz,PASS
CHIP-A100,L2024-01,W01,0,1,1001,LEAKAGE_IDD,2.5,uA,PASS
CHIP-A100,L2024-01,W01,0,1,1002,VOLTAGE_DROP,50,mV,PASS
CHIP-A100,L2024-01,W01,0,1,1003,FREQ_MHZ,2096,MHz,PASS
CHIP-A100,L2024-01,W01,1,1,1001,LEAKAGE_IDD,2.2,uA,PASS
CHIP-A100,L2024-01,W01,1,1,1002,VOLTAGE_DROP,47,mV,PASS
CHIP-A100,L2024-01,W01,1,1,1003,FREQ_MHZ,2101,MHz,PASS
CHIP-A100,L2024-01,W01,2,1,1001,LEAKAGE_IDD,2.4,uA,PASS
CHIP-A100,L2024-01,W01,2,1,1002,VOLTAGE_DROP,49,mV,PASS
CHIP-A100,L2024-01,W01,2,1,1003,FREQ_MHZ,2099,MHz,PASS
CHIP-A100,L2024-01,W01,2,2,1001,LEAKAGE_IDD,15.8,uA,FAIL
CHIP-A100,L2024-01,W01,2,2,1002,VOLTAGE_DROP,92,mV,FAIL
CHIP-A100,L2024-01,W01,2,2,1003,FREQ_MHZ,1850,MHz,FAIL
CHIP-A100,L2024-01,W01,0,3,1001,LEAKAGE_IDD,14.2,uA,FAIL
CHIP-A100,L2024-01,W01,0,3,1002,VOLTAGE_DROP,88,mV,FAIL
CHIP-A100,L2024-01,W01,0,3,1003,FREQ_MHZ,1890,MHz,FAIL
CHIP-A100,L2024-01,W01,-4,0,1001,LEAKAGE_IDD,1.9,uA,PASS
CHIP-A100,L2024-01,W01,-4,0,1002,VOLTAGE_DROP,12,mV,PASS
CHIP-A100,L2024-01,W01,-4,0,1003,FREQ_MHZ,2110,MHz,PASS
CHIP-A100,L2024-01,W02,0,0,1001,LEAKAGE_IDD,2.2,uA,PASS
CHIP-A100,L2024-01,W02,0,0,1002,VOLTAGE_DROP,46,mV,PASS
CHIP-A100,L2024-01,W02,0,0,1003,FREQ_MHZ,2100,MHz,PASS
CHIP-A100,L2024-01,W02,1,0,1001,LEAKAGE_IDD,2.4,uA,PASS
CHIP-A100,L2024-01,W02,1,0,1002,VOLTAGE_DROP,49,mV,PASS
CHIP-A100,L2024-01,W02,1,0,1003,FREQ_MHZ,2098,MHz,PASS
CHIP-A100,L2024-01,W02,2,1,1001,LEAKAGE_IDD,15.3,uA,FAIL
CHIP-A100,L2024-01,W02,2,1,1002,VOLTAGE_DROP,89,mV,FAIL
CHIP-A100,L2024-01,W02,2,1,1003,FREQ_MHZ,1870,MHz,FAIL
CHIP-A100,L2024-01,W02,-1,1,1001,LEAKAGE_IDD,14.5,uA,FAIL
CHIP-A100,L2024-01,W02,-1,1,1002,VOLTAGE_DROP,87,mV,FAIL
CHIP-A100,L2024-01,W02,-1,1,1003,FREQ_MHZ,1900,MHz,FAIL
CHIP-A100,L2024-01,W03,0,0,1001,LEAKAGE_IDD,2.3,uA,PASS
CHIP-A100,L2024-01,W03,0,0,1002,VOLTAGE_DROP,48,mV,PASS
CHIP-A100,L2024-01,W03,0,0,1003,FREQ_MHZ,2099,MHz,PASS
CHIP-A100,L2024-01,W03,1,0,1001,LEAKAGE_IDD,2.1,uA,PASS
CHIP-A100,L2024-01,W03,1,0,1002,VOLTAGE_DROP,45,mV,PASS
CHIP-A100,L2024-01,W03,1,0,1003,FREQ_MHZ,2102,MHz,PASS
CHIP-A100,L2024-01,W03,0,3,1001,LEAKAGE_IDD,2.0,uA,PASS
CHIP-A100,L2024-01,W03,0,3,1002,VOLTAGE_DROP,10,mV,PASS
CHIP-A100,L2024-01,W03,0,3,1003,FREQ_MHZ,2115,MHz,PASS
