LOT_ID,WAFER_NUM,X_POS,Y_POS,HBN,SBN,DIE_STATUS,TEMP_C,LEAKAGE_UA,VDD_DROOP_MV,CLOCK_MHZ,MARGIN_PCT
LOT2024-01,W01,0,0,1,0,PASS,25,2.1,45,2100,8.2
LOT2024-01,W01,1,0,1,0,PASS,25,2.3,48,2098,7.9
LOT2024-01,W01,2,0,1,0,PASS,25,2.2,46,2102,8.1
LOT2024-01,W01,0,1,1,0,PASS,25,2.5,50,2096,7.5
LOT2024-01,W01,1,1,1,0,PASS,25,2.2,47,2101,8.0
LOT2024-01,W01,2,1,1,0,PASS,25,2.4,49,2099,7.8
LOT2024-01,W01,0,2,1,0,PASS,25,2.1,44,2103,8.3
LOT2024-01,W01,1,2,1,0,PASS,25,2.6,51,2095,7.4
LOT2024-01,W01,2,2,2,8,FAIL,25,15.8,92,1850,0.2
LOT2024-01,W01,0,3,2,8,FAIL,25,14.2,88,1890,0.5
LOT2024-01,W01,1,3,1,0,PASS,25,2.3,47,2100,8.0
LOT2024-01,W01,2,3,1,0,PASS,25,2.2,46,2101,8.1
LOT2024-01,W01,0,4,1,0,PASS,25,2.4,49,2098,7.7
LOT2024-01,W01,1,4,2,8,FAIL,25,16.1,95,1820,0.1
LOT2024-01,W01,2,4,1,0,PASS,25,2.1,45,2102,8.2
LOT2024-01,W01,-1,0,1,0,PASS,25,2.2,46,2100,8.1
LOT2024-01,W01,-1,1,1,0,PASS,25,2.5,50,2097,7.6
LOT2024-01,W01,-1,2,1,0,PASS,25,2.3,48,2100,7.9
LOT2024-01,W01,-1,3,1,0,PASS,25,2.4,49,2099,7.8
LOT2024-01,W01,-1,4,1,0,PASS,25,2.2,47,2101,8.0
LOT2024-01,W01,-2,0,1,0,PASS,25,2.1,44,2103,8.3
LOT2024-01,W01,-2,1,1,0,PASS,25,2.3,48,2099,7.9
LOT2024-01,W01,-2,2,1,0,PASS,25,2.6,51,2096,7.3
LOT2024-01,W01,-2,3,2,8,FAIL,25,15.5,91,1860,0.3
LOT2024-01,W01,-2,4,1,0,PASS,25,2.2,46,2101,8.1
LOT2024-01,W01,3,0,1,0,PASS,25,2.4,49,2098,7.7
LOT2024-01,W01,3,1,1,0,PASS,25,2.2,47,2100,8.0
LOT2024-01,W01,3,2,1,0,PASS,25,2.5,50,2097,7.6
LOT2024-01,W01,3,3,1,0,PASS,25,2.3,48,2100,7.9
LOT2024-01,W01,3,4,1,0,PASS,25,2.1,45,2102,8.2
LOT2024-01,W01,-3,0,1,0,PASS,25,2.3,48,2099,7.9
LOT2024-01,W01,-3,1,1,0,PASS,25,2.4,49,2099,7.8
LOT2024-01,W01,-3,2,1,0,PASS,25,2.2,46,2101,8.1
LOT2024-01,W01,-3,3,1,0,PASS,25,2.5,50,2097,7.6
LOT2024-01,W01,-3,4,2,8,FAIL,25,14.8,90,1880,0.4
LOT2024-01,W01,4,0,1,0,PASS,25,2.1,44,2103,8.3
LOT2024-01,W01,4,1,1,0,PASS,25,2.3,48,2099,7.9
LOT2024-01,W01,4,2,1,0,PASS,25,2.6,51,2095,7.4
LOT2024-01,W01,4,3,1,0,PASS,25,2.2,46,2101,8.1
LOT2024-01,W01,4,4,1,0,PASS,25,2.4,49,2098,7.7
