LOT,WAFER,X,Y,HBIN,SBIN
SOC-A7-2025-118,S01,-3,-24,10,1001
SOC-A7-2025-118,S01,-2,-24,2,200
SOC-A7-2025-118,S01,-1,-24,2,201
SOC-A7-2025-118,S01,0,-24,1,100
SOC-A7-2025-118,S01,1,-24,1,100
SOC-A7-2025-118,S01,2,-24,10,1001
SOC-A7-2025-118,S01,3,-24,1,100
SOC-A7-2025-118,S01,-7,-23,1,100
SOC-A7-2025-118,S01,-6,-23,2,200
SOC-A7-2025-118,S01,-5,-23,3,303
SOC-A7-2025-118,S01,-4,-23,2,200
SOC-A7-2025-118,S01,-3,-23,3,303
SOC-A7-2025-118,S01,-2,-23,2,200
SOC-A7-2025-118,S01,-1,-23,3,302
SOC-A7-2025-118,S01,0,-23,2,201
SOC-A7-2025-118,S01,1,-23,3,301
SOC-A7-2025-118,S01,2,-23,3,302
SOC-A7-2025-118,S01,3,-23,1,100
SOC-A7-2025-118,S01,4,-23,6,601
SOC-A7-2025-118,S01,5,-23,1,100
SOC-A7-2025-118,S01,6,-23,3,303
SOC-A7-2025-118,S01,7,-23,10,1001
SOC-A7-2025-118,S01,-10,-22,3,303
SOC-A7-2025-118,S01,-9,-22,1,100
SOC-A7-2025-118,S01,-8,-22,10,1001
SOC-A7-2025-118,S01,-7,-22,3,303
SOC-A7-2025-118,S01,-6,-22,2,201
SOC-A7-2025-118,S01,-5,-22,3,302
SOC-A7-2025-118,S01,-4,-22,1,100
SOC-A7-2025-118,S01,-3,-22,6,601
SOC-A7-2025-118,S01,-2,-22,10,1002
SOC-A7-2025-118,S01,-1,-22,1,100
SOC-A7-2025-118,S01,0,-22,1,100
SOC-A7-2025-118,S01,1,-22,1,100
SOC-A7-2025-118,S01,2,-22,2,200
SOC-A7-2025-118,S01,3,-22,1,100
SOC-A7-2025-118,S01,4,-22,2,200
SOC-A7-2025-118,S01,5,-22,2,200
SOC-A7-2025-118,S01,6,-22,3,302
SOC-A7-2025-118,S01,7,-22,1,100
SOC-A7-2025-118,S01,8,-22,1,100
SOC-A7-2025-118,S01,9,-22,3,302
SOC-A7-2025-118,S01,10,-22,2,201
SOC-A7-2025-118,S01,-12,-21,2,201
SOC-A7-2025-118,S01,-11,-21,3,303
SOC-A7-2025-118,S01,-10,-21,3,303
SOC-A7-2025-118,S01,-9,-21,3,303
SOC-A7-2025-118,S01,-8,-21,1,100
SOC-A7-2025-118,S01,-7,-21,2,201
SOC-A7-2025-118,S01,-6,-21,2,200
SOC-A7-2025-118,S01,-5,-21,1,100
SOC-A7-2025-118,S01,-4,-21,10,1002
SOC-A7-2025-118,S01,-3,-21,1,100
SOC-A7-2025-118,S01,-2,-21,12,1202
SOC-A7-2025-118,S01,-1,-21,1,100
SOC-A7-2025-118,S01,0,-21,1,100
SOC-A7-2025-118,S01,1,-21,2,201
SOC-A7-2025-118,S01,2,-21,1,100
SOC-A7-2025-118,S01,3,-21,10,1002
SOC-A7-2025-118,S01,4,-21,1,100
SOC-A7-2025-118,S01,5,-21,1,100
SOC-A7-2025-118,S01,6,-21,2,200
SOC-A7-2025-118,S01,7,-21,1,100
SOC-A7-2025-118,S01,8,-21,1,100
SOC-A7-2025-118,S01,9,-21,1,100
SOC-A7-2025-118,S01,10,-21,3,302
SOC-A7-2025-118,S01,11,-21,6,602
SOC-A7-2025-118,S01,12,-21,3,301
SOC-A7-2025-118,S01,-13,-20,3,303
SOC-A7-2025-118,S01,-12,-20,1,100
SOC-A7-2025-118,S01,-11,-20,10,1002
SOC-A7-2025-118,S01,-10,-20,1,100
SOC-A7-2025-118,S01,-9,-20,2,200
SOC-A7-2025-118,S01,-8,-20,2,201
SOC-A7-2025-118,S01,-7,-20,2,200
SOC-A7-2025-118,S01,-6,-20,10,1001
SOC-A7-2025-118,S01,-5,-20,2,200
SOC-A7-2025-118,S01,-4,-20,1,100
SOC-A7-2025-118,S01,-3,-20,1,100
SOC-A7-2025-118,S01,-2,-20,1,100
SOC-A7-2025-118,S01,-1,-20,2,200
SOC-A7-2025-118,S01,0,-20,1,100
SOC-A7-2025-118,S01,1,-20,2,200
SOC-A7-2025-118,S01,2,-20,1,100
SOC-A7-2025-118,S01,3,-20,1,100
SOC-A7-2025-118,S01,4,-20,1,100
SOC-A7-2025-118,S01,5,-20,2,200
SOC-A7-2025-118,S01,6,-20,1,100
SOC-A7-2025-118,S01,7,-20,1,100
SOC-A7-2025-118,S01,8,-20,1,100
SOC-A7-2025-118,S01,9,-20,1,100
SOC-A7-2025-118,S01,10,-20,2,200
SOC-A7-2025-118,S01,11,-20,12,1202
SOC-A7-2025-118,S01,12,-20,1,100
SOC-A7-2025-118,S01,13,-20,1,100
SOC-A7-2025-118,S01,-15,-19,3,302
SOC-A7-2025-118,S01,-14,-19,10,1001
SOC-A7-2025-118,S01,-13,-19,10,1001
SOC-A7-2025-118,S01,-12,-19,2,201
SOC-A7-2025-118,S01,-11,-19,1,100
SOC-A7-2025-118,S01,-10,-19,2,200
SOC-A7-2025-118,S01,-9,-19,2,200
SOC-A7-2025-118,S01,-8,-19,2,201
SOC-A7-2025-118,S01,-7,-19,2,200
SOC-A7-2025-118,S01,-6,-19,1,100
SOC-A7-2025-118,S01,-5,-19,1,100
SOC-A7-2025-118,S01,-4,-19,2,201
SOC-A7-2025-118,S01,-3,-19,10,1001
SOC-A7-2025-118,S01,-2,-19,1,100
SOC-A7-2025-118,S01,-1,-19,2,200
SOC-A7-2025-118,S01,0,-19,1,100
SOC-A7-2025-118,S01,1,-19,10,1001
SOC-A7-2025-118,S01,2,-19,2,201
SOC-A7-2025-118,S01,3,-19,1,100
SOC-A7-2025-118,S01,4,-19,2,201
SOC-A7-2025-118,S01,5,-19,1,100
SOC-A7-2025-118,S01,6,-19,2,200
SOC-A7-2025-118,S01,7,-19,1,100
SOC-A7-2025-118,S01,8,-19,1,100
SOC-A7-2025-118,S01,9,-19,1,100
SOC-A7-2025-118,S01,10,-19,1,100
SOC-A7-2025-118,S01,11,-19,2,200
SOC-A7-2025-118,S01,12,-19,12,1202
SOC-A7-2025-118,S01,13,-19,3,303
SOC-A7-2025-118,S01,14,-19,1,100
SOC-A7-2025-118,S01,15,-19,3,302
SOC-A7-2025-118,S01,-16,-18,1,100
SOC-A7-2025-118,S01,-15,-18,10,1002
SOC-A7-2025-118,S01,-14,-18,12,1202
SOC-A7-2025-118,S01,-13,-18,1,100
SOC-A7-2025-118,S01,-12,-18,1,100
SOC-A7-2025-118,S01,-11,-18,1,100
SOC-A7-2025-118,S01,-10,-18,10,1001
SOC-A7-2025-118,S01,-9,-18,10,1002
SOC-A7-2025-118,S01,-8,-18,1,100
SOC-A7-2025-118,S01,-7,-18,6,601
SOC-A7-2025-118,S01,-6,-18,1,100
SOC-A7-2025-118,S01,-5,-18,1,100
SOC-A7-2025-118,S01,-4,-18,2,200
SOC-A7-2025-118,S01,-3,-18,1,100
SOC-A7-2025-118,S01,-2,-18,1,100
SOC-A7-2025-118,S01,-1,-18,2,200
SOC-A7-2025-118,S01,0,-18,6,601
SOC-A7-2025-118,S01,1,-18,6,601
SOC-A7-2025-118,S01,2,-18,1,100
SOC-A7-2025-118,S01,3,-18,2,201
SOC-A7-2025-118,S01,4,-18,1,100
SOC-A7-2025-118,S01,5,-18,1,100
SOC-A7-2025-118,S01,6,-18,1,100
SOC-A7-2025-118,S01,7,-18,1,100
SOC-A7-2025-118,S01,8,-18,1,100
SOC-A7-2025-118,S01,9,-18,2,200
SOC-A7-2025-118,S01,10,-18,1,100
SOC-A7-2025-118,S01,11,-18,1,100
SOC-A7-2025-118,S01,12,-18,1,100
SOC-A7-2025-118,S01,13,-18,1,100
SOC-A7-2025-118,S01,14,-18,1,100
SOC-A7-2025-118,S01,15,-18,1,100
SOC-A7-2025-118,S01,16,-18,3,302
SOC-A7-2025-118,S01,-17,-17,2,200
SOC-A7-2025-118,S01,-16,-17,1,100
SOC-A7-2025-118,S01,-15,-17,2,200
SOC-A7-2025-118,S01,-14,-17,10,1001
SOC-A7-2025-118,S01,-13,-17,1,100
SOC-A7-2025-118,S01,-12,-17,10,1002
SOC-A7-2025-118,S01,-11,-17,1,100
SOC-A7-2025-118,S01,-10,-17,2,200
SOC-A7-2025-118,S01,-9,-17,1,100
SOC-A7-2025-118,S01,-8,-17,10,1002
SOC-A7-2025-118,S01,-7,-17,1,100
SOC-A7-2025-118,S01,-6,-17,10,1001
SOC-A7-2025-118,S01,-5,-17,1,100
SOC-A7-2025-118,S01,-4,-17,8,801
SOC-A7-2025-118,S01,-3,-17,10,1001
SOC-A7-2025-118,S01,-2,-17,2,201
SOC-A7-2025-118,S01,-1,-17,2,201
SOC-A7-2025-118,S01,0,-17,1,100
SOC-A7-2025-118,S01,1,-17,1,100
SOC-A7-2025-118,S01,2,-17,1,100
SOC-A7-2025-118,S01,3,-17,1,100
SOC-A7-2025-118,S01,4,-17,1,100
SOC-A7-2025-118,S01,5,-17,6,602
SOC-A7-2025-118,S01,6,-17,1,100
SOC-A7-2025-118,S01,7,-17,6,602
SOC-A7-2025-118,S01,8,-17,2,201
SOC-A7-2025-118,S01,9,-17,1,100
SOC-A7-2025-118,S01,10,-17,1,100
SOC-A7-2025-118,S01,11,-17,1,100
SOC-A7-2025-118,S01,12,-17,2,201
SOC-A7-2025-118,S01,13,-17,1,100
SOC-A7-2025-118,S01,14,-17,2,201
SOC-A7-2025-118,S01,15,-17,1,100
SOC-A7-2025-118,S01,16,-17,1,100
SOC-A7-2025-118,S01,17,-17,1,100
SOC-A7-2025-118,S01,-18,-16,2,200
SOC-A7-2025-118,S01,-17,-16,3,302
SOC-A7-2025-118,S01,-16,-16,3,302
SOC-A7-2025-118,S01,-15,-16,1,100
SOC-A7-2025-118,S01,-14,-16,12,1202
SOC-A7-2025-118,S01,-13,-16,10,1001
SOC-A7-2025-118,S01,-12,-16,2,200
SOC-A7-2025-118,S01,-11,-16,1,100
SOC-A7-2025-118,S01,-10,-16,2,201
SOC-A7-2025-118,S01,-9,-16,1,100
SOC-A7-2025-118,S01,-8,-16,10,1002
SOC-A7-2025-118,S01,-7,-16,10,1001
SOC-A7-2025-118,S01,-6,-16,1,100
SOC-A7-2025-118,S01,-5,-16,1,100
SOC-A7-2025-118,S01,-4,-16,1,100
SOC-A7-2025-118,S01,-3,-16,1,100
SOC-A7-2025-118,S01,-2,-16,1,100
SOC-A7-2025-118,S01,-1,-16,1,100
SOC-A7-2025-118,S01,0,-16,2,201
SOC-A7-2025-118,S01,1,-16,1,100
SOC-A7-2025-118,S01,2,-16,1,100
SOC-A7-2025-118,S01,3,-16,2,201
SOC-A7-2025-118,S01,4,-16,1,100
SOC-A7-2025-118,S01,5,-16,2,200
SOC-A7-2025-118,S01,6,-16,1,100
SOC-A7-2025-118,S01,7,-16,1,100
SOC-A7-2025-118,S01,8,-16,1,100
SOC-A7-2025-118,S01,9,-16,1,100
SOC-A7-2025-118,S01,10,-16,1,100
SOC-A7-2025-118,S01,11,-16,1,100
SOC-A7-2025-118,S01,12,-16,1,100
SOC-A7-2025-118,S01,13,-16,1,100
SOC-A7-2025-118,S01,14,-16,2,200
SOC-A7-2025-118,S01,15,-16,1,100
SOC-A7-2025-118,S01,16,-16,1,100
SOC-A7-2025-118,S01,17,-16,3,301
SOC-A7-2025-118,S01,18,-16,1,100
SOC-A7-2025-118,S01,-19,-15,3,303
SOC-A7-2025-118,S01,-18,-15,1,100
SOC-A7-2025-118,S01,-17,-15,10,1002
SOC-A7-2025-118,S01,-16,-15,1,100
SOC-A7-2025-118,S01,-15,-15,10,1001
SOC-A7-2025-118,S01,-14,-15,10,1002
SOC-A7-2025-118,S01,-13,-15,1,100
SOC-A7-2025-118,S01,-12,-15,2,200
SOC-A7-2025-118,S01,-11,-15,2,201
SOC-A7-2025-118,S01,-10,-15,10,1002
SOC-A7-2025-118,S01,-9,-15,10,1001
SOC-A7-2025-118,S01,-8,-15,1,100
SOC-A7-2025-118,S01,-7,-15,1,100
SOC-A7-2025-118,S01,-6,-15,10,1002
SOC-A7-2025-118,S01,-5,-15,2,201
SOC-A7-2025-118,S01,-4,-15,1,100
SOC-A7-2025-118,S01,-3,-15,2,201
SOC-A7-2025-118,S01,-2,-15,10,1001
SOC-A7-2025-118,S01,-1,-15,1,100
SOC-A7-2025-118,S01,0,-15,1,100
SOC-A7-2025-118,S01,1,-15,2,201
SOC-A7-2025-118,S01,2,-15,1,100
SOC-A7-2025-118,S01,3,-15,1,100
SOC-A7-2025-118,S01,4,-15,1,100
SOC-A7-2025-118,S01,5,-15,1,100
SOC-A7-2025-118,S01,6,-15,1,100
SOC-A7-2025-118,S01,7,-15,1,100
SOC-A7-2025-118,S01,8,-15,1,100
SOC-A7-2025-118,S01,9,-15,6,603
SOC-A7-2025-118,S01,10,-15,1,100
SOC-A7-2025-118,S01,11,-15,1,100
SOC-A7-2025-118,S01,12,-15,1,100
SOC-A7-2025-118,S01,13,-15,1,100
SOC-A7-2025-118,S01,14,-15,1,100
SOC-A7-2025-118,S01,15,-15,12,1202
SOC-A7-2025-118,S01,16,-15,1,100
SOC-A7-2025-118,S01,17,-15,3,303
SOC-A7-2025-118,S01,18,-15,12,1201
SOC-A7-2025-118,S01,19,-15,1,100
SOC-A7-2025-118,S01,-19,-14,3,301
SOC-A7-2025-118,S01,-18,-14,12,1202
SOC-A7-2025-118,S01,-17,-14,2,201
SOC-A7-2025-118,S01,-16,-14,1,100
SOC-A7-2025-118,S01,-15,-14,1,100
SOC-A7-2025-118,S01,-14,-14,2,201
SOC-A7-2025-118,S01,-13,-14,1,100
SOC-A7-2025-118,S01,-12,-14,2,201
SOC-A7-2025-118,S01,-11,-14,2,201
SOC-A7-2025-118,S01,-10,-14,2,200
SOC-A7-2025-118,S01,-9,-14,1,100
SOC-A7-2025-118,S01,-8,-14,1,100
SOC-A7-2025-118,S01,-7,-14,1,100
SOC-A7-2025-118,S01,-6,-14,2,201
SOC-A7-2025-118,S01,-5,-14,1,100
SOC-A7-2025-118,S01,-4,-14,2,201
SOC-A7-2025-118,S01,-3,-14,1,100
SOC-A7-2025-118,S01,-2,-14,1,100
SOC-A7-2025-118,S01,-1,-14,2,201
SOC-A7-2025-118,S01,0,-14,2,200
SOC-A7-2025-118,S01,1,-14,1,100
SOC-A7-2025-118,S01,2,-14,1,100
SOC-A7-2025-118,S01,3,-14,1,100
SOC-A7-2025-118,S01,4,-14,1,100
SOC-A7-2025-118,S01,5,-14,6,602
SOC-A7-2025-118,S01,6,-14,1,100
SOC-A7-2025-118,S01,7,-14,1,100
SOC-A7-2025-118,S01,8,-14,1,100
SOC-A7-2025-118,S01,9,-14,1,100
SOC-A7-2025-118,S01,10,-14,1,100
SOC-A7-2025-118,S01,11,-14,2,200
SOC-A7-2025-118,S01,12,-14,1,100
SOC-A7-2025-118,S01,13,-14,1,100
SOC-A7-2025-118,S01,14,-14,1,100
SOC-A7-2025-118,S01,15,-14,1,100
SOC-A7-2025-118,S01,16,-14,1,100
SOC-A7-2025-118,S01,17,-14,1,100
SOC-A7-2025-118,S01,18,-14,1,100
SOC-A7-2025-118,S01,19,-14,1,100
SOC-A7-2025-118,S01,-20,-13,2,200
SOC-A7-2025-118,S01,-19,-13,1,100
SOC-A7-2025-118,S01,-18,-13,6,603
SOC-A7-2025-118,S01,-17,-13,1,100
SOC-A7-2025-118,S01,-16,-13,1,100
SOC-A7-2025-118,S01,-15,-13,1,100
SOC-A7-2025-118,S01,-14,-13,10,1002
SOC-A7-2025-118,S01,-13,-13,2,200
SOC-A7-2025-118,S01,-12,-13,2,200
SOC-A7-2025-118,S01,-11,-13,1,100
SOC-A7-2025-118,S01,-10,-13,1,100
SOC-A7-2025-118,S01,-9,-13,2,201
SOC-A7-2025-118,S01,-8,-13,10,1002
SOC-A7-2025-118,S01,-7,-13,1,100
SOC-A7-2025-118,S01,-6,-13,1,100
SOC-A7-2025-118,S01,-5,-13,2,201
SOC-A7-2025-118,S01,-4,-13,1,100
SOC-A7-2025-118,S01,-3,-13,1,100
SOC-A7-2025-118,S01,-2,-13,2,200
SOC-A7-2025-118,S01,-1,-13,1,100
SOC-A7-2025-118,S01,0,-13,1,100
SOC-A7-2025-118,S01,1,-13,2,201
SOC-A7-2025-118,S01,2,-13,1,100
SOC-A7-2025-118,S01,3,-13,1,100
SOC-A7-2025-118,S01,4,-13,1,100
SOC-A7-2025-118,S01,5,-13,2,201
SOC-A7-2025-118,S01,6,-13,1,100
SOC-A7-2025-118,S01,7,-13,1,100
SOC-A7-2025-118,S01,8,-13,2,201
SOC-A7-2025-118,S01,9,-13,1,100
SOC-A7-2025-118,S01,10,-13,1,100
SOC-A7-2025-118,S01,11,-13,1,100
SOC-A7-2025-118,S01,12,-13,1,100
SOC-A7-2025-118,S01,13,-13,1,100
SOC-A7-2025-118,S01,14,-13,1,100
SOC-A7-2025-118,S01,15,-13,1,100
SOC-A7-2025-118,S01,16,-13,6,603
SOC-A7-2025-118,S01,17,-13,1,100
SOC-A7-2025-118,S01,18,-13,1,100
SOC-A7-2025-118,S01,19,-13,1,100
SOC-A7-2025-118,S01,20,-13,1,100
SOC-A7-2025-118,S01,-21,-12,1,100
SOC-A7-2025-118,S01,-20,-12,3,301
SOC-A7-2025-118,S01,-19,-12,10,1001
SOC-A7-2025-118,S01,-18,-12,10,1002
SOC-A7-2025-118,S01,-17,-12,2,201
SOC-A7-2025-118,S01,-16,-12,1,100
SOC-A7-2025-118,S01,-15,-12,2,200
SOC-A7-2025-118,S01,-14,-12,1,100
SOC-A7-2025-118,S01,-13,-12,7,701
SOC-A7-2025-118,S01,-12,-12,10,1001
SOC-A7-2025-118,S01,-11,-12,2,201
SOC-A7-2025-118,S01,-10,-12,2,200
SOC-A7-2025-118,S01,-9,-12,2,200
SOC-A7-2025-118,S01,-8,-12,2,201
SOC-A7-2025-118,S01,-7,-12,6,603
SOC-A7-2025-118,S01,-6,-12,2,201
SOC-A7-2025-118,S01,-5,-12,1,100
SOC-A7-2025-118,S01,-4,-12,2,200
SOC-A7-2025-118,S01,-3,-12,1,100
SOC-A7-2025-118,S01,-2,-12,1,100
SOC-A7-2025-118,S01,-1,-12,1,100
SOC-A7-2025-118,S01,0,-12,1,100
SOC-A7-2025-118,S01,1,-12,1,100
SOC-A7-2025-118,S01,2,-12,1,100
SOC-A7-2025-118,S01,3,-12,1,100
SOC-A7-2025-118,S01,4,-12,1,100
SOC-A7-2025-118,S01,5,-12,1,100
SOC-A7-2025-118,S01,6,-12,2,200
SOC-A7-2025-118,S01,7,-12,1,100
SOC-A7-2025-118,S01,8,-12,1,100
SOC-A7-2025-118,S01,9,-12,2,201
SOC-A7-2025-118,S01,10,-12,1,100
SOC-A7-2025-118,S01,11,-12,1,100
SOC-A7-2025-118,S01,12,-12,1,100
SOC-A7-2025-118,S01,13,-12,1,100
SOC-A7-2025-118,S01,14,-12,1,100
SOC-A7-2025-118,S01,15,-12,1,100
SOC-A7-2025-118,S01,16,-12,1,100
SOC-A7-2025-118,S01,17,-12,12,1201
SOC-A7-2025-118,S01,18,-12,1,100
SOC-A7-2025-118,S01,19,-12,2,200
SOC-A7-2025-118,S01,20,-12,1,100
SOC-A7-2025-118,S01,21,-12,3,303
SOC-A7-2025-118,S01,-21,-11,3,301
SOC-A7-2025-118,S01,-20,-11,10,1001
SOC-A7-2025-118,S01,-19,-11,1,100
SOC-A7-2025-118,S01,-18,-11,2,201
SOC-A7-2025-118,S01,-17,-11,1,100
SOC-A7-2025-118,S01,-16,-11,2,201
SOC-A7-2025-118,S01,-15,-11,1,100
SOC-A7-2025-118,S01,-14,-11,10,1002
SOC-A7-2025-118,S01,-13,-11,1,100
SOC-A7-2025-118,S01,-12,-11,7,701
SOC-A7-2025-118,S01,-11,-11,7,703
SOC-A7-2025-118,S01,-10,-11,2,201
SOC-A7-2025-118,S01,-9,-11,10,1002
SOC-A7-2025-118,S01,-8,-11,2,201
SOC-A7-2025-118,S01,-7,-11,1,100
SOC-A7-2025-118,S01,-6,-11,1,100
SOC-A7-2025-118,S01,-5,-11,2,201
SOC-A7-2025-118,S01,-4,-11,2,200
SOC-A7-2025-118,S01,-3,-11,1,100
SOC-A7-2025-118,S01,-2,-11,1,100
SOC-A7-2025-118,S01,-1,-11,1,100
SOC-A7-2025-118,S01,0,-11,1,100
