LOT,WFR,X,Y,HBIN,SBIN,TST_A,TST_B
HVM-0982,W01,-6,-64,4,20,1.1046,0.9568
HVM-0982,W01,-5,-64,1,10,1.0197,0.9547
HVM-0982,W01,-4,-64,1,10,1.0997,0.9721
HVM-0982,W01,-3,-64,1,10,1.0823,0.9595
HVM-0982,W01,-2,-64,1,10,1.0863,0.9737
HVM-0982,W01,-1,-64,1,10,1.1145,0.9843
HVM-0982,W01,0,-64,2,31,1.0840,0.9400
HVM-0982,W01,1,-64,2,20,1.0906,1.0084
HVM-0982,W01,2,-64,1,10,1.1003,0.9772
HVM-0982,W01,3,-64,2,30,1.1032,0.9545
HVM-0982,W01,4,-64,1,10,1.1195,0.9685
HVM-0982,W01,5,-64,1,10,1.0915,1.0048
HVM-0982,W01,6,-64,1,10,1.1276,0.9952
HVM-0982,W01,-10,-63,1,10,1.0678,0.9468
HVM-0982,W01,-9,-63,1,10,1.1027,0.9562
HVM-0982,W01,-8,-63,1,10,1.0963,0.9984
HVM-0982,W01,-7,-63,4,20,1.0823,0.9719
HVM-0982,W01,-6,-63,1,10,1.0588,0.9367
HVM-0982,W01,-5,-63,1,10,1.0445,1.0017
HVM-0982,W01,-4,-63,1,10,1.0875,0.9715
HVM-0982,W01,-3,-63,1,10,1.0588,0.9431
HVM-0982,W01,-2,-63,2,20,1.1037,0.9771
HVM-0982,W01,-1,-63,4,31,1.1405,0.9928
HVM-0982,W01,0,-63,1,10,1.1225,0.9524
HVM-0982,W01,1,-63,3,30,1.0932,1.0199
HVM-0982,W01,2,-63,1,10,1.1257,0.9432
HVM-0982,W01,3,-63,2,21,1.1122,0.9538
HVM-0982,W01,4,-63,1,10,1.1305,0.9699
HVM-0982,W01,5,-63,2,21,1.1398,0.9421
HVM-0982,W01,6,-63,1,10,1.0946,0.9514
HVM-0982,W01,7,-63,1,10,1.1287,0.9812
HVM-0982,W01,8,-63,4,30,1.1255,0.9703
HVM-0982,W01,9,-63,1,10,1.1217,0.9353
HVM-0982,W01,10,-63,2,21,1.0922,0.9556
HVM-0982,W01,-13,-62,3,31,1.0991,0.9602
HVM-0982,W01,-12,-62,2,31,1.0683,0.9216
HVM-0982,W01,-11,-62,2,20,1.0437,0.9532
HVM-0982,W01,-10,-62,4,30,1.0995,1.0142
HVM-0982,W01,-9,-62,1,10,1.0964,0.9431
HVM-0982,W01,-8,-62,2,21,1.0913,0.9386
HVM-0982,W01,-7,-62,1,10,1.0867,0.9583
HVM-0982,W01,-6,-62,1,10,1.0888,0.9840
HVM-0982,W01,-5,-62,1,10,1.1042,0.9431
HVM-0982,W01,-4,-62,1,10,1.0959,0.9753
HVM-0982,W01,-3,-62,2,31,1.0584,1.0054
HVM-0982,W01,-2,-62,2,31,1.1253,0.9479
HVM-0982,W01,-1,-62,1,10,1.0954,0.9393
HVM-0982,W01,0,-62,1,10,1.1117,0.9689
HVM-0982,W01,1,-62,1,10,1.1227,0.9617
HVM-0982,W01,2,-62,1,10,1.1317,0.9836
HVM-0982,W01,3,-62,1,10,1.1532,0.9160
HVM-0982,W01,4,-62,4,31,1.1503,0.9463
HVM-0982,W01,5,-62,1,10,1.1081,0.9584
HVM-0982,W01,6,-62,2,20,1.1199,1.0042
HVM-0982,W01,7,-62,2,20,1.1206,0.9606
HVM-0982,W01,8,-62,1,10,1.0997,0.9313
HVM-0982,W01,9,-62,2,20,1.0958,0.9542
HVM-0982,W01,10,-62,1,10,1.1109,0.9540
HVM-0982,W01,11,-62,1,10,1.1210,0.9053
HVM-0982,W01,12,-62,1,10,1.1774,0.9607
HVM-0982,W01,13,-62,1,10,1.1372,0.9851
HVM-0982,W01,-16,-61,1,10,1.0360,0.9501
HVM-0982,W01,-15,-61,1,10,0.9940,0.9777
HVM-0982,W01,-14,-61,1,10,1.0559,0.9654
HVM-0982,W01,-13,-61,1,10,1.0528,0.9591
HVM-0982,W01,-12,-61,1,10,1.0577,0.9581
HVM-0982,W01,-11,-61,1,10,1.0526,0.9472
HVM-0982,W01,-10,-61,1,10,1.0614,0.9192
HVM-0982,W01,-9,-61,4,20,1.1210,0.9515
HVM-0982,W01,-8,-61,1,10,1.0918,0.9550
