LID,WID,COL,ROW,H_BIN,S_BIN
MEM-2025-LOT7,M01,-4,-48,2,22
MEM-2025-LOT7,M01,-3,-48,1,10
MEM-2025-LOT7,M01,-2,-48,2,21
MEM-2025-LOT7,M01,-1,-48,2,20
MEM-2025-LOT7,M01,0,-48,2,21
MEM-2025-LOT7,M01,1,-48,1,10
MEM-2025-LOT7,M01,2,-48,1,10
MEM-2025-LOT7,M01,3,-48,2,20
MEM-2025-LOT7,M01,4,-48,2,22
MEM-2025-LOT7,M01,-7,-47,1,10
MEM-2025-LOT7,M01,-6,-47,1,10
MEM-2025-LOT7,M01,-5,-47,1,10
MEM-2025-LOT7,M01,-4,-47,1,10
MEM-2025-LOT7,M01,-3,-47,2,20
MEM-2025-LOT7,M01,-2,-47,4,30
MEM-2025-LOT7,M01,-1,-47,2,22
MEM-2025-LOT7,M01,0,-47,1,10
MEM-2025-LOT7,M01,1,-47,1,10
MEM-2025-LOT7,M01,2,-47,2,22
MEM-2025-LOT7,M01,3,-47,2,20
MEM-2025-LOT7,M01,4,-47,1,10
MEM-2025-LOT7,M01,5,-47,1,10
MEM-2025-LOT7,M01,6,-47,1,10
MEM-2025-LOT7,M01,7,-47,1,10
MEM-2025-LOT7,M01,-10,-46,1,10
MEM-2025-LOT7,M01,-9,-46,1,10
MEM-2025-LOT7,M01,-8,-46,4,30
MEM-2025-LOT7,M01,-7,-46,1,10
MEM-2025-LOT7,M01,-6,-46,1,10
MEM-2025-LOT7,M01,-5,-46,3,20
MEM-2025-LOT7,M01,-4,-46,3,31
MEM-2025-LOT7,M01,-3,-46,1,10
MEM-2025-LOT7,M01,-2,-46,1,10
MEM-2025-LOT7,M01,-1,-46,2,22
MEM-2025-LOT7,M01,0,-46,4,21
MEM-2025-LOT7,M01,1,-46,1,10
MEM-2025-LOT7,M01,2,-46,1,10
MEM-2025-LOT7,M01,3,-46,1,10
MEM-2025-LOT7,M01,4,-46,1,10
MEM-2025-LOT7,M01,5,-46,2,20
MEM-2025-LOT7,M01,6,-46,1,10
MEM-2025-LOT7,M01,7,-46,1,10
MEM-2025-LOT7,M01,8,-46,2,30
MEM-2025-LOT7,M01,9,-46,1,10
MEM-2025-LOT7,M01,10,-46,1,10
MEM-2025-LOT7,M01,-12,-45,1,10
MEM-2025-LOT7,M01,-11,-45,4,22
MEM-2025-LOT7,M01,-10,-45,1,10
MEM-2025-LOT7,M01,-9,-45,1,10
MEM-2025-LOT7,M01,-8,-45,1,10
MEM-2025-LOT7,M01,-7,-45,2,22
MEM-2025-LOT7,M01,-6,-45,1,10
MEM-2025-LOT7,M01,-5,-45,1,10
MEM-2025-LOT7,M01,-4,-45,3,20
MEM-2025-LOT7,M01,-3,-45,1,10
MEM-2025-LOT7,M01,-2,-45,4,21
MEM-2025-LOT7,M01,-1,-45,2,22
MEM-2025-LOT7,M01,0,-45,1,10
MEM-2025-LOT7,M01,1,-45,1,10
MEM-2025-LOT7,M01,2,-45,1,10
