# Exported from ATE system v4.2.1
# Lot: PILOT-LOT-001, Product: "Widget, Mark II"
# DO NOT EDIT — auto-generated
x,y,hbin,sbin,wafer,lot,product,note
-3,-23,1,10,P01,PILOT-LOT-001,"Widget, Mark II",
-2,-23,1,10,P01,PILOT-LOT-001,"Widget, Mark II",
-1,-23,1,10,P01,PILOT-LOT-001,"Widget, Mark II",
0,-23,1,10,P01,PILOT-LOT-001,"Widget, Mark II",
1,-23,1,10,P01,PILOT-LOT-001,"Widget, Mark II",
2,-23,1,10,P01,PILOT-LOT-001,"Widget, Mark II",
3,-23,1,10,P01,PILOT-LOT-001,"Widget, Mark II",
-7,-22,1,10,P01,PILOT-LOT-001,"Widget, Mark II",
-6,-22,1,10,P01,PILOT-LOT-001,"Widget, Mark II",
-5,-22,1,10,P01,PILOT-LOT-001,"Widget, Mark II",
-4,-22,1,10,P01,PILOT-LOT-001,"Widget, Mark II",
-3,-22,1,10,P01,PILOT-LOT-001,"Widget, Mark II",
-2,-22,1,10,P01,PILOT-LOT-001,"Widget, Mark II",
-1,-22,1,10,P01,PILOT-LOT-001,"Widget, Mark II",
0,-22,1,10,P01,PILOT-LOT-001,"Widget, Mark II",
1,-22,1,10,P01,PILOT-LOT-001,"Widget, Mark II",
2,-22,1,10,P01,PILOT-LOT-001,"Widget, Mark II",
3,-22,1,10,P01,PILOT-LOT-001,"Widget, Mark II",
4,-22,1,10,P01,PILOT-LOT-001,"Widget, Mark II",
5,-22,1,10,P01,PILOT-LOT-001,"Widget, Mark II",
6,-22,1,10,P01,PILOT-LOT-001,"Widget, Mark II",
7,-22,1,10,P01,PILOT-LOT-001,"Widget, Mark II",
-10,-21,1,10,P01,PILOT-LOT-001,"Widget, Mark II",
-9,-21,2,20,P01,PILOT-LOT-001,"Widget, Mark II","Failed spec, re-test pending"
-8,-21,1,10,P01,PILOT-LOT-001,"Widget, Mark II",
-7,-21,1,10,P01,PILOT-LOT-001,"Widget, Mark II",
-6,-21,1,10,P01,PILOT-LOT-001,"Widget, Mark II",
-5,-21,1,10,P01,PILOT-LOT-001,"Widget, Mark II",
-4,-21,1,10,P01,PILOT-LOT-001,"Widget, Mark II",
-3,-21,1,10,P01,PILOT-LOT-001,"Widget, Mark II",
-2,-21,1,10,P01,PILOT-LOT-001,"Widget, Mark II",
-1,-21,1,10,P01,PILOT-LOT-001,"Widget, Mark II",
0,-21,1,10,P01,PILOT-LOT-001,"Widget, Mark II",
1,-21,1,10,P01,PILOT-LOT-001,"Widget, Mark II",
