lot_num,wafer_num,step_x,step_y,bin,tester,node_nam,tst_temp
PWR-LOT-2025-44,W01,-2,-14,1,EAGLE-01,PHOENIX-3A,25
PWR-LOT-2025-44,W01,-1,-14,1,EAGLE-01,PHOENIX-3A,25
PWR-LOT-2025-44,W01,0,-14,1,EAGLE-01,PHOENIX-3A,25
PWR-LOT-2025-44,W01,1,-14,1,EAGLE-01,PHOENIX-3A,25
PWR-LOT-2025-44,W01,2,-14,1,EAGLE-01,PHOENIX-3A,25
PWR-LOT-2025-44,W01,-5,-13,1,EAGLE-01,PHOENIX-3A,25
PWR-LOT-2025-44,W01,-4,-13,1,EAGLE-01,PHOENIX-3A,25
PWR-LOT-2025-44,W01,-3,-13,1,EAGLE-01,PHOENIX-3A,25
PWR-LOT-2025-44,W01,-2,-13,1,EAGLE-01,PHOENIX-3A,25
PWR-LOT-2025-44,W01,-1,-13,1,EAGLE-01,PHOENIX-3A,25
PWR-LOT-2025-44,W01,0,-13,1,EAGLE-01,PHOENIX-3A,25
PWR-LOT-2025-44,W01,1,-13,1,EAGLE-01,PHOENIX-3A,25
PWR-LOT-2025-44,W01,2,-13,1,EAGLE-01,PHOENIX-3A,25
PWR-LOT-2025-44,W01,3,-13,1,EAGLE-01,PHOENIX-3A,25
PWR-LOT-2025-44,W01,4,-13,1,EAGLE-01,PHOENIX-3A,25
PWR-LOT-2025-44,W01,5,-13,1,EAGLE-01,PHOENIX-3A,25
PWR-LOT-2025-44,W01,-7,-12,1,EAGLE-01,PHOENIX-3A,25
PWR-LOT-2025-44,W01,-6,-12,1,EAGLE-01,PHOENIX-3A,25
PWR-LOT-2025-44,W01,-5,-12,1,EAGLE-01,PHOENIX-3A,25
PWR-LOT-2025-44,W01,-4,-12,1,EAGLE-01,PHOENIX-3A,25
PWR-LOT-2025-44,W01,-3,-12,1,EAGLE-01,PHOENIX-3A,25
PWR-LOT-2025-44,W01,-2,-12,1,EAGLE-01,PHOENIX-3A,25
PWR-LOT-2025-44,W01,-1,-12,1,EAGLE-01,PHOENIX-3A,25
PWR-LOT-2025-44,W01,0,-12,1,EAGLE-01,PHOENIX-3A,25
PWR-LOT-2025-44,W01,1,-12,1,EAGLE-01,PHOENIX-3A,25
PWR-LOT-2025-44,W01,2,-12,1,EAGLE-01,PHOENIX-3A,25
PWR-LOT-2025-44,W01,3,-12,1,EAGLE-01,PHOENIX-3A,25
PWR-LOT-2025-44,W01,4,-12,1,EAGLE-01,PHOENIX-3A,25
PWR-LOT-2025-44,W01,5,-12,1,EAGLE-01,PHOENIX-3A,25
PWR-LOT-2025-44,W01,6,-12,1,EAGLE-01,PHOENIX-3A,25
PWR-LOT-2025-44,W01,7,-12,1,EAGLE-01,PHOENIX-3A,25
PWR-LOT-2025-44,W01,-8,-11,1,EAGLE-01,PHOENIX-3A,25
PWR-LOT-2025-44,W01,-7,-11,1,EAGLE-01,PHOENIX-3A,25
PWR-LOT-2025-44,W01,-6,-11,1,EAGLE-01,PHOENIX-3A,25
PWR-LOT-2025-44,W01,-5,-11,1,EAGLE-01,PHOENIX-3A,25
PWR-LOT-2025-44,W01,-4,-11,1,EAGLE-01,PHOENIX-3A,25
PWR-LOT-2025-44,W01,-3,-11,1,EAGLE-01,PHOENIX-3A,25
PWR-LOT-2025-44,W01,-2,-11,1,EAGLE-01,PHOENIX-3A,25
PWR-LOT-2025-44,W01,-1,-11,1,EAGLE-01,PHOENIX-3A,25
PWR-LOT-2025-44,W01,0,-11,1,EAGLE-01,PHOENIX-3A,25
PWR-LOT-2025-44,W01,1,-11,1,EAGLE-01,PHOENIX-3A,25
PWR-LOT-2025-44,W01,2,-11,1,EAGLE-01,PHOENIX-3A,25
PWR-LOT-2025-44,W01,3,-11,1,EAGLE-01,PHOENIX-3A,25
PWR-LOT-2025-44,W01,4,-11,1,EAGLE-01,PHOENIX-3A,25
PWR-LOT-2025-44,W01,5,-11,1,EAGLE-01,PHOENIX-3A,25
PWR-LOT-2025-44,W01,6,-11,1,EAGLE-01,PHOENIX-3A,25
PWR-LOT-2025-44,W01,7,-11,1,EAGLE-01,PHOENIX-3A,25
PWR-LOT-2025-44,W01,8,-11,1,EAGLE-01,PHOENIX-3A,25
PWR-LOT-2025-44,W01,-10,-10,1,EAGLE-01,PHOENIX-3A,25
PWR-LOT-2025-44,W01,-9,-10,1,EAGLE-01,PHOENIX-3A,25
PWR-LOT-2025-44,W01,-8,-10,1,EAGLE-01,PHOENIX-3A,25
PWR-LOT-2025-44,W01,-7,-10,1,EAGLE-01,PHOENIX-3A,25
PWR-LOT-2025-44,W01,-6,-10,1,EAGLE-01,PHOENIX-3A,25
PWR-LOT-2025-44,W01,-5,-10,1,EAGLE-01,PHOENIX-3A,25
PWR-LOT-2025-44,W01,-4,-10,1,EAGLE-01,PHOENIX-3A,25
PWR-LOT-2025-44,W01,-3,-10,1,EAGLE-01,PHOENIX-3A,25
PWR-LOT-2025-44,W01,-2,-10,1,EAGLE-01,PHOENIX-3A,25
PWR-LOT-2025-44,W01,-1,-10,1,EAGLE-01,PHOENIX-3A,25
PWR-LOT-2025-44,W01,0,-10,1,EAGLE-01,PHOENIX-3A,25
PWR-LOT-2025-44,W01,1,-10,1,EAGLE-01,PHOENIX-3A,25
PWR-LOT-2025-44,W01,2,-10,1,EAGLE-01,PHOENIX-3A,25
