LOT_ID,WAFER_ID,X_LOC,Y_LOC,SBIN,GAIN_DB,NF_DB,IP3_DBM,IDQ_MA,TEMP,TESTDATE
RF-PROD-2025-09,A1,-7,-53,1,22.74,2.334,18.33,41.71,25,2025-09-12
RF-PROD-2025-09,A1,-6,-53,1,21.50,2.942,17.86,43.75,25,2025-09-12
RF-PROD-2025-09,A1,-5,-53,1,21.65,2.428,18.23,40.48,25,2025-09-12
RF-PROD-2025-09,A1,-4,-53,1,21.91,2.923,18.26,40.14,25,2025-09-12
RF-PROD-2025-09,A1,-3,-53,1,22.55,3.167,18.72,40.95,25,2025-09-12
RF-PROD-2025-09,A1,-2,-53,10,9.94,6.469,9.80,40.12,25,2025-09-12
RF-PROD-2025-09,A1,-1,-53,1,22.64,2.884,18.29,44.42,25,2025-09-12
RF-PROD-2025-09,A1,0,-53,1,23.78,2.879,17.81,40.99,25,2025-09-12
RF-PROD-2025-09,A1,1,-53,1,22.82,3.094,17.91,40.99,25,2025-09-12
RF-PROD-2025-09,A1,2,-53,10,16.47,4.669,9.88,36.29,25,2025-09-12
RF-PROD-2025-09,A1,3,-53,1,21.76,2.654,18.55,41.01,25,2025-09-12
RF-PROD-2025-09,A1,4,-53,1,23.52,3.240,18.25,39.82,25,2025-09-12
RF-PROD-2025-09,A1,5,-53,1,22.17,2.566,17.85,41.89,25,2025-09-12
RF-PROD-2025-09,A1,6,-53,11,13.67,5.742,9.70,39.60,25,2025-09-12
RF-PROD-2025-09,A1,7,-53,1,22.51,2.783,18.34,42.09,25,2025-09-12
RF-PROD-2025-09,A1,-11,-52,20,15.53,6.188,10.23,37.60,25,2025-09-12
RF-PROD-2025-09,A1,-10,-52,1,22.59,3.165,18.20,41.51,25,2025-09-12
RF-PROD-2025-09,A1,-9,-52,1,21.87,3.300,18.05,41.74,25,2025-09-12
RF-PROD-2025-09,A1,-8,-52,11,14.42,6.527,9.25,38.53,25,2025-09-12
RF-PROD-2025-09,A1,-7,-52,12,9.66,4.851,9.81,37.67,25,2025-09-12
RF-PROD-2025-09,A1,-6,-52,1,22.00,3.369,18.52,43.36,25,2025-09-12
RF-PROD-2025-09,A1,-5,-52,1,22.37,2.958,18.46,44.59,25,2025-09-12
RF-PROD-2025-09,A1,-4,-52,1,22.51,3.355,17.95,44.75,25,2025-09-12
RF-PROD-2025-09,A1,-3,-52,1,22.83,2.558,18.40,42.58,25,2025-09-12
RF-PROD-2025-09,A1,-2,-52,1,22.35,3.099,18.97,38.35,25,2025-09-12
RF-PROD-2025-09,A1,-1,-52,12,13.91,4.794,9.65,37.27,25,2025-09-12
RF-PROD-2025-09,A1,0,-52,1,21.79,2.692,17.85,42.95,25,2025-09-12
RF-PROD-2025-09,A1,1,-52,12,15.66,4.220,9.08,36.38,25,2025-09-12
RF-PROD-2025-09,A1,2,-52,12,9.42,4.407,10.44,37.48,25,2025-09-12
RF-PROD-2025-09,A1,3,-52,12,16.56,3.585,10.11,34.74,25,2025-09-12
RF-PROD-2025-09,A1,4,-52,11,11.35,3.379,10.28,35.62,25,2025-09-12
RF-PROD-2025-09,A1,5,-52,10,13.13,3.577,9.27,35.35,25,2025-09-12
RF-PROD-2025-09,A1,6,-52,1,21.71,3.215,18.39,43.73,25,2025-09-12
RF-PROD-2025-09,A1,7,-52,20,14.38,5.834,9.73,38.32,25,2025-09-12
RF-PROD-2025-09,A1,8,-52,11,12.68,5.280,10.58,38.07,25,2025-09-12
RF-PROD-2025-09,A1,9,-52,1,22.06,2.544,17.83,42.70,25,2025-09-12
RF-PROD-2025-09,A1,10,-52,1,22.25,3.439,18.76,41.28,25,2025-09-12
RF-PROD-2025-09,A1,11,-52,1,23.06,2.853,18.33,41.82,25,2025-09-12
RF-PROD-2025-09,A1,-14,-51,1,22.98,2.020,18.20,39.52,25,2025-09-12
RF-PROD-2025-09,A1,-13,-51,11,14.84,4.559,10.56,39.16,25,2025-09-12
RF-PROD-2025-09,A1,-12,-51,1,23.15,2.757,17.73,40.17,25,2025-09-12
RF-PROD-2025-09,A1,-11,-51,1,21.98,3.029,17.82,40.83,25,2025-09-12
RF-PROD-2025-09,A1,-10,-51,11,13.84,5.565,9.87,39.25,25,2025-09-12
RF-PROD-2025-09,A1,-9,-51,1,21.75,2.815,17.92,39.57,25,2025-09-12
RF-PROD-2025-09,A1,-8,-51,10,14.65,6.040,9.09,36.87,25,2025-09-12
RF-PROD-2025-09,A1,-7,-51,11,17.07,5.726,9.01,38.78,25,2025-09-12
RF-PROD-2025-09,A1,-6,-51,11,18.22,6.744,9.52,34.83,25,2025-09-12
RF-PROD-2025-09,A1,-5,-51,11,12.04,4.125,9.97,37.41,25,2025-09-12
RF-PROD-2025-09,A1,-4,-51,1,21.57,2.772,18.65,39.92,25,2025-09-12
RF-PROD-2025-09,A1,-3,-51,1,23.53,2.682,18.64,43.51,25,2025-09-12
RF-PROD-2025-09,A1,-2,-51,1,22.48,2.198,17.97,43.82,25,2025-09-12
RF-PROD-2025-09,A1,-1,-51,1,22.25,2.827,18.48,42.90,25,2025-09-12
RF-PROD-2025-09,A1,0,-51,1,22.00,2.559,18.40,41.51,25,2025-09-12
RF-PROD-2025-09,A1,1,-51,1,22.17,2.456,18.43,44.43,25,2025-09-12
RF-PROD-2025-09,A1,2,-51,1,22.11,2.742,17.98,41.98,25,2025-09-12
RF-PROD-2025-09,A1,3,-51,1,22.34,2.650,18.37,44.12,25,2025-09-12
