LOT_ID,WAFER_ID,XSTEP,YSTEP,HARD_BIN,DEVICE_TYPE,OPERATOR,TEST_DATE
QUAL-2024-001,QV-01,-2,-18,1,DUT_A,JSMITH,2024-11-15
QUAL-2024-001,QV-01,-1,-18,1,DUT_A,JSMITH,2024-11-15
QUAL-2024-001,QV-01,2,-18,2,DUT_A,JSMITH,2024-11-15
QUAL-2024-001,QV-01,-7,-17,1,DUT_B,JSMITH,2024-11-15
QUAL-2024-001,QV-01,-6,-17,1,DUT_A,JSMITH,2024-11-15
QUAL-2024-001,QV-01,-5,-17,1,DUT_A,JSMITH,2024-11-15
QUAL-2024-001,QV-01,-3,-17,1,DUT_A,JSMITH,2024-11-15
QUAL-2024-001,QV-01,0,-17,1,DUT_A,JSMITH,2024-11-15
QUAL-2024-001,QV-01,3,-17,1,DUT_A,JSMITH,2024-11-15
QUAL-2024-001,QV-01,6,-17,1,DUT_A,JSMITH,2024-11-15
QUAL-2024-001,QV-01,7,-17,1,DUT_A,JSMITH,2024-11-15
QUAL-2024-001,QV-01,9,-17,1,DUT_A,JSMITH,2024-11-15
QUAL-2024-001,QV-01,-12,-16,2,DUT_A,JSMITH,2024-11-15
QUAL-2024-001,QV-01,-6,-16,1,DUT_A,JSMITH,2024-11-15
QUAL-2024-001,QV-01,-3,-16,1,DUT_A,JSMITH,2024-11-15
QUAL-2024-001,QV-01,-2,-16,1,DUT_B,JSMITH,2024-11-15
QUAL-2024-001,QV-01,-13,-15,1,DUT_A,JSMITH,2024-11-15
QUAL-2024-001,QV-01,-11,-15,1,DUT_A,JSMITH,2024-11-15
QUAL-2024-001,QV-01,-8,-15,1,DUT_A,JSMITH,2024-11-15
QUAL-2024-001,QV-01,0,-15,1,DUT_B,JSMITH,2024-11-15
QUAL-2024-001,QV-01,4,-15,1,DUT_A,JSMITH,2024-11-15
QUAL-2024-001,QV-01,13,-15,1,DUT_A,JSMITH,2024-11-15
QUAL-2024-001,QV-01,-11,-14,1,DUT_A,JSMITH,2024-11-15
QUAL-2024-001,QV-01,-9,-14,1,DUT_A,JSMITH,2024-11-15
QUAL-2024-001,QV-01,-8,-14,1,DUT_A,JSMITH,2024-11-15
QUAL-2024-001,QV-01,-7,-14,1,DUT_B,JSMITH,2024-11-15
QUAL-2024-001,QV-01,-4,-14,1,DUT_B,JSMITH,2024-11-15
QUAL-2024-001,QV-01,-2,-14,1,DUT_A,JSMITH,2024-11-15
QUAL-2024-001,QV-01,-1,-14,1,DUT_B,JSMITH,2024-11-15
QUAL-2024-001,QV-01,8,-14,1,DUT_B,JSMITH,2024-11-15
QUAL-2024-001,QV-01,12,-14,1,DUT_A,JSMITH,2024-11-15
QUAL-2024-001,QV-01,-19,-13,1,DUT_A,JSMITH,2024-11-15
QUAL-2024-001,QV-01,-17,-13,1,DUT_B,JSMITH,2024-11-15
QUAL-2024-001,QV-01,-16,-13,1,DUT_A,JSMITH,2024-11-15
QUAL-2024-001,QV-01,-15,-13,1,DUT_A,JSMITH,2024-11-15
QUAL-2024-001,QV-01,-10,-13,1,DUT_A,JSMITH,2024-11-15
QUAL-2024-001,QV-01,-9,-13,1,DUT_A,JSMITH,2024-11-15
QUAL-2024-001,QV-01,-5,-13,1,DUT_B,JSMITH,2024-11-15
QUAL-2024-001,QV-01,-2,-13,1,DUT_B,JSMITH,2024-11-15
QUAL-2024-001,QV-01,2,-13,1,DUT_A,JSMITH,2024-11-15
QUAL-2024-001,QV-01,5,-13,1,DUT_A,JSMITH,2024-11-15
QUAL-2024-001,QV-01,8,-13,1,DUT_A,JSMITH,2024-11-15
QUAL-2024-001,QV-01,11,-13,1,DUT_A,JSMITH,2024-11-15
QUAL-2024-001,QV-01,14,-13,1,DUT_A,JSMITH,2024-11-15
QUAL-2024-001,QV-01,16,-13,1,DUT_B,JSMITH,2024-11-15
QUAL-2024-001,QV-01,-20,-12,3,DUT_A,JSMITH,2024-11-15
QUAL-2024-001,QV-01,-14,-12,1,DUT_A,JSMITH,2024-11-15
QUAL-2024-001,QV-01,-8,-12,1,DUT_A,JSMITH,2024-11-15
QUAL-2024-001,QV-01,-1,-12,1,DUT_A,JSMITH,2024-11-15
QUAL-2024-001,QV-01,5,-12,1,DUT_A,JSMITH,2024-11-15
QUAL-2024-001,QV-01,6,-12,1,DUT_B,JSMITH,2024-11-15
QUAL-2024-001,QV-01,7,-12,1,DUT_A,JSMITH,2024-11-15
QUAL-2024-001,QV-01,9,-12,1,DUT_B,JSMITH,2024-11-15
QUAL-2024-001,QV-01,12,-12,1,DUT_B,JSMITH,2024-11-15
QUAL-2024-001,QV-01,-18,-11,1,DUT_A,JSMITH,2024-11-15
QUAL-2024-001,QV-01,-17,-11,1,DUT_A,JSMITH,2024-11-15
QUAL-2024-001,QV-01,-14,-11,1,DUT_A,JSMITH,2024-11-15
QUAL-2024-001,QV-01,-7,-11,1,DUT_B,JSMITH,2024-11-15
QUAL-2024-001,QV-01,-1,-11,1,DUT_B,JSMITH,2024-11-15
QUAL-2024-001,QV-01,1,-11,1,DUT_A,JSMITH,2024-11-15
QUAL-2024-001,QV-01,4,-11,1,DUT_A,JSMITH,2024-11-15
QUAL-2024-001,QV-01,9,-11,1,DUT_A,JSMITH,2024-11-15
QUAL-2024-001,QV-01,14,-11,1,DUT_B,JSMITH,2024-11-15
QUAL-2024-001,QV-01,19,-11,1,DUT_A,JSMITH,2024-11-15
QUAL-2024-001,QV-01,21,-11,2,DUT_A,JSMITH,2024-11-15
QUAL-2024-001,QV-01,-18,-10,1,DUT_A,JSMITH,2024-11-15
QUAL-2024-001,QV-01,-16,-10,1,DUT_A,JSMITH,2024-11-15
QUAL-2024-001,QV-01,-15,-10,1,DUT_A,JSMITH,2024-11-15
QUAL-2024-001,QV-01,-13,-10,1,DUT_A,JSMITH,2024-11-15
QUAL-2024-001,QV-01,-9,-10,1,DUT_A,JSMITH,2024-11-15
QUAL-2024-001,QV-01,-7,-10,1,DUT_A,JSMITH,2024-11-15
QUAL-2024-001,QV-01,-6,-10,1,DUT_A,JSMITH,2024-11-15
QUAL-2024-001,QV-01,-1,-10,1,DUT_A,JSMITH,2024-11-15
QUAL-2024-001,QV-01,3,-10,1,DUT_A,JSMITH,2024-11-15
QUAL-2024-001,QV-01,10,-10,1,DUT_B,JSMITH,2024-11-15
QUAL-2024-001,QV-01,15,-10,1,DUT_A,JSMITH,2024-11-15
