lot_id,wafer_id,die_x,die_y,hard_bin,soft_bin,IDD_UA,VTH_V,BW_MHZ,CONTINUITY,VTH_FLAG
IMG-SENSOR-003,W01,0,-79,4,201,33.04,0.5590,325.0,P,P
IMG-SENSOR-003,W01,-2,-78,1,100,13.60,0.4104,508.6,P,P
IMG-SENSOR-003,W01,-1,-78,1,100,14.69,0.3852,489.4,P,P
IMG-SENSOR-003,W01,0,-78,1,100,14.27,0.4051,508.4,P,P
IMG-SENSOR-003,W01,1,-78,2,202,38.69,0.5270,304.0,P,P
IMG-SENSOR-003,W01,2,-78,1,100,10.16,0.3710,459.2,P,P
IMG-SENSOR-003,W01,-2,-77,1,100,9.36,0.4146,488.7,P,P
IMG-SENSOR-003,W01,-1,-77,1,100,11.57,0.3949,502.9,P,P
IMG-SENSOR-003,W01,0,-77,1,100,9.64,0.4017,468.0,P,P
IMG-SENSOR-003,W01,1,-77,2,301,54.86,0.5324,304.6,P,P
IMG-SENSOR-003,W01,2,-77,1,100,14.57,0.4270,461.3,P,P
IMG-SENSOR-003,W01,-3,-76,1,100,10.56,0.4084,453.8,P,P
IMG-SENSOR-003,W01,-2,-76,4,202,36.73,0.5460,291.3,F,P
IMG-SENSOR-003,W01,-1,-76,1,100,11.66,0.4198,482.8,P,P
IMG-SENSOR-003,W01,0,-76,1,100,10.48,0.4112,497.5,P,P
IMG-SENSOR-003,W01,1,-76,1,100,14.54,0.4058,508.8,P,P
IMG-SENSOR-003,W01,2,-76,2,301,39.02,0.5417,334.3,F,P
IMG-SENSOR-003,W01,3,-76,2,201,39.48,0.5568,245.7,F,P
IMG-SENSOR-003,W01,-3,-75,1,100,16.44,0.4253,484.5,P,P
IMG-SENSOR-003,W01,-2,-75,1,100,10.69,0.4174,440.1,P,P
IMG-SENSOR-003,W01,-1,-75,1,100,12.00,0.3721,485.9,P,P
IMG-SENSOR-003,W01,0,-75,1,100,10.65,0.4171,517.2,P,P
IMG-SENSOR-003,W01,1,-75,1,100,12.18,0.4160,467.8,P,P
IMG-SENSOR-003,W01,2,-75,1,100,13.74,0.3984,476.7,P,P
IMG-SENSOR-003,W01,3,-75,1,100,13.53,0.4031,460.2,P,P
IMG-SENSOR-003,W01,-4,-74,2,201,42.08,0.5548,393.6,P,P
IMG-SENSOR-003,W01,-3,-74,2,202,38.60,0.5628,325.8,F,P
IMG-SENSOR-003,W01,-2,-74,1,100,12.36,0.3990,465.1,P,P
IMG-SENSOR-003,W01,-1,-74,1,100,11.99,0.4369,477.8,P,P
IMG-SENSOR-003,W01,0,-74,1,100,10.37,0.4071,469.3,P,P
IMG-SENSOR-003,W01,1,-74,1,100,14.42,0.3921,500.2,P,P
