lot,wafer,x,y,hbin,sbin,leakage,voltage,frequency
EDGE-LOT-01,W01,-8,-2,3,31,4.69,1.61,2050.25
EDGE-LOT-01,W01,-8,-1,2,21,5.18,1.64,2031.87
EDGE-LOT-01,W01,-8,0,2,21,6.28,1.74,2044.44
EDGE-LOT-01,W01,-8,1,1,10,3.22,1.73,2040.71
EDGE-LOT-01,W01,-8,2,3,31,4.48,1.69,1992.1
EDGE-LOT-01,W01,-7,-4,3,31,5.59,1.73,2027.85
EDGE-LOT-01,W01,-7,-3,1,10,3.76,1.69,2077.98
EDGE-LOT-01,W01,-7,-2,1,10,4.37,1.79,2079.68
EDGE-LOT-01,W01,-7,-1,1,10,2.2,1.8,2140.93
EDGE-LOT-01,W01,-7,0,1,10,2.46,1.8,2125.64
EDGE-LOT-01,W01,-7,1,1,11,2.33,1.91,2112.94
EDGE-LOT-01,W01,-7,2,1,10,3.55,1.75,2079.36
EDGE-LOT-01,W01,-7,3,1,10,2.87,1.69,2075.07
EDGE-LOT-01,W01,-7,4,1,11,4.14,1.64,2020.91
EDGE-LOT-01,W01,-6,-5,1,10,3.36,1.66,1980.16
EDGE-LOT-01,W01,-6,-4,1,11,2.32,1.74,2120.62
EDGE-LOT-01,W01,-6,-3,1,10,2.59,1.82,2108
EDGE-LOT-01,W01,-6,-2,1,10,2,1.77,2080.44
EDGE-LOT-01,W01,-6,-1,1,10,3.08,1.82,2055.3
EDGE-LOT-01,W01,-6,0,1,10,2.35,1.82,2123.8
EDGE-LOT-01,W01,-6,1,1,10,2.25,1.85,2096.47
EDGE-LOT-01,W01,-6,2,1,10,2.25,1.76,2104.46
EDGE-LOT-01,W01,-6,3,1,10,2.5,1.79,2068.37
EDGE-LOT-01,W01,-6,4,1,10,2.8,1.78,2124.97
EDGE-LOT-01,W01,-6,5,3,31,4.46,1.76,1994.19
EDGE-LOT-01,W01,-5,-6,1,10,4.26,1.66,2062.71
EDGE-LOT-01,W01,-5,-5,1,10,3.36,1.83,2128.81
EDGE-LOT-01,W01,-5,-4,1,10,2.08,1.79,2095.36
EDGE-LOT-01,W01,-5,-3,1,10,2.08,1.79,2112.11
EDGE-LOT-01,W01,-5,-2,1,10,2.69,1.82,2093.84
EDGE-LOT-01,W01,-5,-1,1,11,2.36,1.83,2050.46
EDGE-LOT-01,W01,-5,0,1,10,2.53,1.83,2170.38
EDGE-LOT-01,W01,-5,1,1,10,2.58,1.85,2000.06
EDGE-LOT-01,W01,-5,2,1,10,2.06,1.76,2043.64
EDGE-LOT-01,W01,-5,3,1,10,1.99,1.84,2069.8
EDGE-LOT-01,W01,-5,4,1,11,2.64,1.83,2069.74
EDGE-LOT-01,W01,-5,5,1,10,3.56,1.79,2043.79
EDGE-LOT-01,W01,-5,6,2,21,3.57,1.73,2052.44
