lot,wafer,x,y,hbin,sbin,leakage,voltage,frequency
HY-LOT-04,W01,-8,-2,1,10,2.023,1.822,2088.19
HY-LOT-04,W01,-8,-1,1,10,1.932,1.842,2097.53
HY-LOT-04,W01,-8,0,1,10,2.008,1.803,2086.29
HY-LOT-04,W01,-8,1,1,10,2.197,1.784,2080.29
HY-LOT-04,W01,-8,2,1,10,2.057,1.783,2067.83
HY-LOT-04,W01,-7,-4,1,10,1.99,1.799,2081.69
HY-LOT-04,W01,-7,-3,1,10,2.368,1.8,2106.92
HY-LOT-04,W01,-7,-2,1,10,2.664,1.756,2126.94
HY-LOT-04,W01,-7,-1,1,10,2.166,1.819,2103.33
HY-LOT-04,W01,-7,0,1,10,2.287,1.762,2106.15
HY-LOT-04,W01,-7,1,1,10,2.226,1.793,2107.12
HY-LOT-04,W01,-7,2,1,10,2.081,1.797,2104.21
HY-LOT-04,W01,-7,3,1,10,2.246,1.794,2092.04
HY-LOT-04,W01,-7,4,1,10,2.076,1.82,2097.88
HY-LOT-04,W01,-6,-5,1,10,2.244,1.798,2105.78
HY-LOT-04,W01,-6,-4,1,10,2.213,1.815,2067.84
HY-LOT-04,W01,-6,-3,1,10,2.51,1.816,2087.18
HY-LOT-04,W01,-6,-2,1,10,2.085,1.809,2084.61
HY-LOT-04,W01,-6,-1,1,10,2.174,1.772,2088.1
HY-LOT-04,W01,-6,0,1,10,2.454,1.818,2092.06
HY-LOT-04,W01,-6,1,1,10,2.373,1.793,2099.59
HY-LOT-04,W01,-6,2,1,10,2.193,1.821,2075.52
HY-LOT-04,W01,-6,3,1,10,2.507,1.782,2085.82
HY-LOT-04,W01,-6,4,1,10,2.205,1.815,2096.77
HY-LOT-04,W01,-6,5,1,10,2.46,1.805,2065.65
HY-LOT-04,W01,-5,-6,1,10,1.922,1.803,2095.22
HY-LOT-04,W01,-5,-5,1,10,2.266,1.804,2078.09
HY-LOT-04,W01,-5,-4,1,10,2.298,1.814,2102.93
HY-LOT-04,W01,-5,-3,1,10,1.912,1.804,2091.2
HY-LOT-04,W01,-5,-2,1,10,2.331,1.83,2100.63
HY-LOT-04,W01,-5,-1,1,10,2.19,1.789,2089.72
HY-LOT-04,W01,-5,0,1,10,2.393,1.798,2105.89
HY-LOT-04,W01,-5,1,1,10,2.069,1.803,2107.85
HY-LOT-04,W01,-5,2,1,10,1.937,1.822,2102.49
HY-LOT-04,W01,-5,3,1,10,2.213,1.792,2053.4
HY-LOT-04,W01,-5,4,1,10,1.811,1.826,2084.44
HY-LOT-04,W01,-5,5,1,10,1.919,1.804,2116.54
HY-LOT-04,W01,-5,6,1,10,2.308,1.812,2084.78
HY-LOT-04,W01,-4,-7,1,10,2.032,1.786,2106.95
HY-LOT-04,W01,-4,-6,1,10,1.98,1.83,2090
HY-LOT-04,W01,-4,-5,1,10,2.216,1.795,2099.8
HY-LOT-04,W01,-4,-4,1,10,2.054,1.814,2107.12
HY-LOT-04,W01,-4,-3,1,10,2.228,1.831,2107.97
HY-LOT-04,W01,-4,-2,1,10,2.492,1.794,2084.6
HY-LOT-04,W01,-4,-1,1,10,2.3,1.775,2111.36
HY-LOT-04,W01,-4,0,1,10,1.991,1.789,2127.21
HY-LOT-04,W01,-4,1,1,10,2.47,1.814,2084.96
HY-LOT-04,W01,-4,2,1,10,2.388,1.821,2112.23
