lot,wafer,x,y,hbin,sbin,leakage,voltage,frequency
PARAM-LOT-02,W01,-8,-2,1,10,2.65,1.79,2056.65
PARAM-LOT-02,W01,-8,-1,1,10,3.61,1.79,2121
PARAM-LOT-02,W01,-8,0,1,10,3.48,1.73,2154.07
PARAM-LOT-02,W01,-8,1,1,10,3.69,1.77,2133.63
PARAM-LOT-02,W01,-8,2,1,10,2.58,1.76,2063.77
PARAM-LOT-02,W01,-7,-4,1,10,2.68,1.8,2092.11
PARAM-LOT-02,W01,-7,-3,1,10,3.23,1.72,2132.93
PARAM-LOT-02,W01,-7,-2,1,10,3.37,1.74,2113.94
PARAM-LOT-02,W01,-7,-1,1,10,3.44,1.79,2051.79
PARAM-LOT-02,W01,-7,0,1,10,3.43,1.76,2092.64
PARAM-LOT-02,W01,-7,1,1,10,2.63,1.75,2080.86
PARAM-LOT-02,W01,-7,2,1,10,2.99,1.76,2093.5
PARAM-LOT-02,W01,-7,3,1,10,3.48,1.76,2118.31
PARAM-LOT-02,W01,-7,4,1,10,2.74,1.76,2091.8
PARAM-LOT-02,W01,-6,-5,1,10,3.28,1.77,2121.59
PARAM-LOT-02,W01,-6,-4,1,10,2.27,1.76,2116.18
PARAM-LOT-02,W01,-6,-3,1,10,3.55,1.79,2072.92
PARAM-LOT-02,W01,-6,-2,1,10,2.41,1.81,2142.95
PARAM-LOT-02,W01,-6,-1,1,10,3.94,1.79,2099.24
PARAM-LOT-02,W01,-6,0,1,10,3.24,1.73,2076.26
PARAM-LOT-02,W01,-6,1,1,10,2.21,1.76,2089.96
PARAM-LOT-02,W01,-6,2,1,10,3.38,1.76,2068.31
PARAM-LOT-02,W01,-6,3,1,10,2.76,1.75,2062.21
PARAM-LOT-02,W01,-6,4,1,10,2.84,1.78,2106.33
PARAM-LOT-02,W01,-6,5,1,10,2.39,1.71,2123.92
PARAM-LOT-02,W01,-5,-6,1,10,3.09,1.76,2103.87
PARAM-LOT-02,W01,-5,-5,1,10,2.71,1.77,2060.43
PARAM-LOT-02,W01,-5,-4,1,10,3,1.75,2104.49
PARAM-LOT-02,W01,-5,-3,1,10,4.13,1.75,2114.31
PARAM-LOT-02,W01,-5,-2,1,10,2.42,1.79,2142.25
PARAM-LOT-02,W01,-5,-1,1,10,3.39,1.79,2079.72
